BanColombia S.A PE Ratio Historical Data,BanColombia S.A PE Ratio Historical Data,BanColombia S.A PE Ratio Historical Data,BanColombia S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.11,,5.06
2024-06-30,31.81,$6.35,5.01
2024-03-31,32.48,$6.36,5.11
2023-12-31,28.45,$6.10,4.66
2023-09-30,24.03,$5.94,4.05
2023-06-30,23.36,$5.89,3.97
2023-03-31,21.38,$6.22,3.44
2022-12-31,23.62,$6.60,3.58
2022-09-30,19.81,$6.69,2.96
2022-06-30,24.45,$6.23,3.93
2022-03-31,33.18,$5.73,5.79
2021-12-31,24.15,$4.42,5.46
2021-09-30,26.41,$2.61,10.12
2021-06-30,21.93,$1.89,11.61
2021-03-31,24.26,$0.53,45.78
2020-12-31,30.48,$0.26,117.22
2020-09-30,19.24,$1.16,16.58
2020-06-30,19.6,$1.91,10.26
2020-03-31,18.4,$3.20,5.75
2019-12-31,39.28,$3.95,9.94
2019-09-30,35.26,$4.63,7.61
2019-06-30,36.19,$4.34,8.34
2019-03-31,35.77,$3.97,9.01
2018-12-31,26.69,$3.66,7.29
2018-09-30,29.0,$3.64,7.97
2018-06-30,32.94,$3.52,9.36
2018-03-31,28.76,$3.57,8.05
2017-12-31,26.91,$3.67,7.33
2017-09-30,30.83,$4.23,7.29
2017-06-30,29.78,$4.47,6.66
2017-03-31,26.47,$4.62,5.73
2016-12-31,24.16,$4.28,5.64
2016-09-30,25.5,$3.28,7.78
2016-06-30,22.63,$3.13,7.23
2016-03-31,21.97,$3.21,6.84
2015-12-31,17.04,$3.71,4.59
2015-09-30,20.33,$3.74,5.44
2015-06-30,26.92,$3.86,6.97
2015-03-31,24.25,$3.82,6.35
2014-12-31,29.52,$3.96,7.45
2014-09-30,34.74,$4.30,8.08
2014-06-30,35.16,$4.25,8.27
2014-03-31,34.11,$3.69,9.24
2013-12-31,29.4,$3.77,7.8
2013-09-30,34.22,$3.82,8.96
2013-06-30,33.38,$4.15,8.04
2013-03-31,37.09,$4.56,8.13
2012-12-31,38.78,$4.47,8.68
2012-09-30,34.57,$4.55,7.6
2012-06-30,35.57,$4.54,7.83
2012-03-31,36.94,$4.71,7.84
2011-12-31,33.81,$4.49,7.53
2011-09-30,31.43,$4.31,7.29
2011-06-30,37.45,$4.25,8.81
2011-03-31,34.97,$3.92,8.92
2010-12-31,34.36,$3.59,9.57
2010-09-30,36.02,$3.37,10.69
2010-06-30,27.37,$3.16,8.66
2010-03-31,24.76,$2.99,8.28
2009-12-31,24.51,$2.99,8.2
