New York Community Bancorp PE Ratio Historical Data,New York Community Bancorp PE Ratio Historical Data,New York Community Bancorp PE Ratio Historical Data,New York Community Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.38,,0.0
2024-06-30,9.65,$-2.76,0.0
2024-03-31,9.65,$0.03,320.63
2023-12-31,30.33,$9.99,3.04
2023-09-30,33.62,$11.97,2.81
2023-06-30,32.91,$12.06,2.73
2023-03-31,26.03,$11.43,2.28
2022-12-31,24.35,$3.75,6.49
2022-09-30,23.7,$3.75,6.32
2022-06-30,24.95,$3.75,6.65
2022-03-31,28.77,$3.63,7.92
2021-12-31,32.28,$3.57,9.04
2021-09-30,33.57,$3.84,8.74
2021-06-30,28.35,$3.63,7.81
2021-03-31,32.0,$3.36,9.52
2020-12-31,26.33,$3.09,8.52
2020-09-30,20.21,$2.52,8.02
2020-06-30,24.51,$2.40,10.21
2020-03-31,22.18,$2.34,9.48
2019-12-31,27.97,$2.31,12.11
2019-09-30,28.79,$2.28,12.63
2019-06-30,22.56,$2.31,9.77
2019-03-31,25.75,$2.34,11.0
2018-12-31,20.65,$2.37,8.71
2018-09-30,22.36,$2.58,8.67
2018-06-30,23.43,$2.61,8.98
2018-03-31,27.26,$2.67,10.21
2017-12-31,26.9,$2.70,9.96
2017-09-30,26.27,$2.61,10.06
2017-06-30,26.41,$2.76,9.57
2017-03-31,27.74,$2.88,9.63
2016-12-31,31.24,$3.06,10.21
2016-09-30,27.6,$-0.24,0.0
2016-06-30,28.73,$-0.24,0.0
2016-03-31,30.12,$-0.18,0.0
2015-12-31,30.58,$-0.18,0.0
2015-09-30,33.32,$3.33,10.0
2015-06-30,33.46,$3.36,9.96
2015-03-31,30.01,$3.33,9.01
2014-12-31,28.25,$3.30,8.56
2014-09-30,27.59,$3.21,8.59
2014-06-30,27.34,$3.18,8.6
2014-03-31,27.05,$3.21,8.42
2013-12-31,27.9,$3.24,8.61
2013-09-30,24.64,$3.27,7.53
2013-06-30,22.46,$3.36,6.68
2013-03-31,22.59,$3.42,6.61
2012-12-31,20.24,$3.42,5.92
2012-09-30,21.48,$3.39,6.34
2012-06-30,18.65,$3.33,5.6
2012-03-31,20.31,$3.24,6.27
2011-12-31,17.71,$3.27,5.42
2011-09-30,16.71,$3.48,4.8
2011-06-30,20.65,$3.60,5.74
2011-03-31,23.43,$3.72,6.3
2010-12-31,25.24,$3.75,6.73
2010-09-30,21.45,$4.08,5.26
2010-06-30,19.87,$3.99,4.98
2010-03-31,21.21,$3.54,5.99
2009-12-31,18.29,$3.45,5.3
