Cleveland-Cliffs PE Ratio Historical Data,Cleveland-Cliffs PE Ratio Historical Data,Cleveland-Cliffs PE Ratio Historical Data,Cleveland-Cliffs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.66,,195.14
2024-06-30,15.39,$0.07,219.86
2024-03-31,22.74,$0.74,30.73
2023-12-31,20.42,$0.77,26.52
2023-09-30,15.63,$0.67,23.33
2023-06-30,16.76,$0.44,38.09
2023-03-31,18.33,$0.90,20.37
2022-12-31,16.11,$2.51,6.42
2022-09-30,13.47,$4.61,2.92
2022-06-30,15.37,$6.65,2.31
2022-03-31,32.21,$6.85,4.7
2021-12-31,21.77,$5.49,3.97
2021-09-30,19.81,$3.78,5.24
2021-06-30,21.56,$1.14,18.91
2020-12-31,14.56,$-0.37,0.0
2020-09-30,6.42,$-0.28,0.0
2020-06-30,5.52,$-0.19,0.0
2020-03-31,3.89,$0.45,8.64
2019-12-31,8.2,$1.20,6.84
2021-03-31,20.11,$0.89,22.6
2019-09-30,6.96,$2.80,2.48
2019-06-30,10.23,$3.88,2.64
2019-03-31,9.53,$3.86,2.47
2018-12-31,7.29,$3.65,2.0
2018-09-30,12.0,$2.72,4.41
2018-06-30,7.99,$1.49,5.36
2018-03-31,6.59,$1.05,6.27
2017-12-31,6.83,$1.23,5.55
2017-09-30,6.78,$0.52,13.03
2017-06-30,6.56,$0.22,29.81
2017-03-31,7.78,$0.18,43.22
2016-12-31,7.97,$0.91,8.76
2016-09-30,5.54,$0.18,30.8
2016-06-30,5.37,$0.20,26.86
2016-03-31,2.84,$0.52,5.47
2015-12-31,1.5,$-4.36,0.0
2015-09-30,2.31,$-12.22,0.0
2015-06-30,4.1,$-50.61,0.0
2015-03-31,4.56,$-51.01,0.0
2014-12-31,6.77,$-47.29,0.0
2014-09-30,9.7,$-38.84,0.0
2014-06-30,13.94,$0.31,44.98
2014-03-31,18.78,$1.14,16.48
2013-12-31,23.9,$2.34,10.21
2013-09-30,18.59,$-9.22,0.0
2013-06-30,14.64,$-9.29,0.0
2013-03-31,17.01,$-8.30,0.0
2012-12-31,34.32,$-6.33,0.0
2012-09-30,34.12,$6.33,5.39
2012-06-30,42.37,$9.81,4.32
2012-03-31,58.98,$10.92,5.4
2011-12-31,52.89,$11.40,4.64
2011-09-30,43.24,$12.92,3.35
2011-06-30,77.82,$11.03,7.06
2011-03-31,82.61,$10.03,8.24
2010-12-31,65.47,$7.61,8.6
2010-09-30,53.53,$5.61,9.54
2010-06-30,39.4,$3.88,10.15
2010-03-31,59.13,$2.32,25.49
2009-12-31,38.34,$1.56,24.58
