FirstService PE Ratio Historical Data,FirstService PE Ratio Historical Data,FirstService PE Ratio Historical Data,FirstService PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,188.1,,105.08
2024-06-30,152.37,$1.79,85.12
2024-03-31,165.8,$2.02,82.08
2023-12-31,162.09,$2.24,72.36
2023-09-30,145.54,$2.96,49.17
2023-06-30,154.09,$3.00,51.36
2023-03-31,140.99,$2.77,50.9
2022-12-31,122.55,$2.73,44.89
2022-09-30,119.01,$2.57,46.31
2022-06-30,121.2,$2.83,42.83
2022-03-31,144.64,$2.88,50.22
2021-12-31,195.87,$3.06,64.01
2021-09-30,179.76,$2.86,62.85
2021-06-30,170.4,$2.58,66.05
2021-03-31,147.29,$2.39,61.63
2020-12-31,135.93,$2.02,67.29
2020-09-30,130.93,$1.65,79.35
2020-06-30,99.89,$1.40,71.35
2020-03-31,76.34,$-6.64,0.0
2019-12-31,91.9,$-6.71,0.0
2019-09-30,101.15,$-6.53,0.0
2019-06-30,94.45,$-6.33,0.0
2019-03-31,87.83,$1.69,51.97
2018-12-31,67.21,$1.80,37.34
2018-09-30,82.93,$1.89,43.88
2018-06-30,74.36,$1.61,46.19
2018-03-31,71.44,$1.49,47.94
2017-12-31,68.13,$1.45,46.98
2017-09-30,63.92,$1.24,51.55
2017-06-30,62.12,$1.25,49.69
2017-03-31,58.43,$1.10,53.12
2016-12-31,45.92,$0.92,49.91
2016-09-30,45.04,$0.82,54.92
2016-06-30,44.12,$0.78,56.56
2016-03-31,39.31,$0.63,62.4
