W.P Carey PE Ratio Historical Data,W.P Carey PE Ratio Historical Data,W.P Carey PE Ratio Historical Data,W.P Carey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.3,,22.72
2024-06-30,54.29,$2.61,20.8
2024-03-31,54.79,$2.63,20.83
2023-12-31,61.96,$3.30,18.78
2023-09-30,51.03,$3.64,14.02
2023-06-30,62.53,$3.57,17.52
2023-03-31,70.57,$3.56,19.82
2022-12-31,70.23,$2.99,23.49
2022-09-30,61.89,$2.52,24.56
2022-06-30,72.35,$2.75,26.31
2022-03-31,69.71,$2.76,25.26
2021-12-31,69.85,$2.23,31.32
2021-09-30,61.39,$2.46,24.96
2021-06-30,61.84,$2.57,24.06
2021-03-31,57.84,$2.51,23.04
2020-12-31,56.85,$2.60,21.86
2020-09-30,51.71,$2.59,19.96
2020-06-30,52.83,$1.98,26.68
2020-03-31,44.66,$1.75,25.52
2019-12-31,60.49,$1.78,33.98
2019-09-30,66.76,$2.36,28.29
2019-06-30,59.87,$2.83,21.16
2019-03-31,57.04,$3.05,18.7
2018-12-31,46.96,$3.33,14.1
2018-09-30,45.5,$2.74,16.61
2018-03-31,42.52,$2.62,16.23
2017-12-31,46.5,$2.55,18.24
2017-09-30,44.83,$2.30,19.49
2017-06-30,43.26,$2.26,19.14
2017-03-31,40.18,$2.70,14.88
2016-12-31,37.55,$2.65,14.17
2018-06-30,46.21,$2.75,16.8
2016-09-30,40.32,$2.53,15.94
2016-06-30,42.73,$1.70,25.14
2016-03-31,37.77,$1.81,20.87
2015-12-31,35.25,$1.61,21.89
2015-09-30,33.99,$1.43,23.77
2015-06-30,34.08,$1.50,22.72
2015-03-31,38.7,$1.55,24.97
2014-12-31,39.34,$2.46,15.99
2014-09-30,35.32,$2.49,14.18
2014-06-30,35.16,$2.49,14.12
2014-03-31,32.34,$2.47,13.09
2013-12-31,32.54,$1.42,22.91
2013-09-30,34.26,$1.31,26.15
2013-06-30,34.58,$1.10,31.44
2013-03-31,34.79,$1.25,27.83
2012-12-31,26.6,$1.35,19.7
2012-09-30,24.68,$1.36,18.15
2012-06-30,22.88,$1.92,11.92
2012-03-31,22.83,$3.09,7.39
2011-12-31,19.86,$3.28,6.05
2011-09-30,17.44,$3.46,5.04
2011-06-30,19.11,$3.43,5.57
2010-12-31,14.36,$1.85,7.76
2010-09-30,13.07,$1.95,6.7
2010-06-30,12.26,$2.12,5.78
2010-03-31,12.8,$1.85,6.92
2009-12-31,11.86,$1.86,6.37
2011-03-31,16.61,$1.71,9.71
