Agnico Eagle Mines PE Ratio Historical Data,Agnico Eagle Mines PE Ratio Historical Data,Agnico Eagle Mines PE Ratio Historical Data,Agnico Eagle Mines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.18,,66.81
2024-06-30,65.08,$1.23,52.91
2024-03-31,59.01,$0.95,62.12
2023-12-31,53.82,$4.11,13.09
2023-09-30,44.26,$5.33,8.3
2023-06-30,48.28,$5.14,9.39
2023-03-31,48.85,$5.08,9.62
2022-12-31,49.4,$1.50,32.93
2022-09-30,39.81,$1.46,27.27
2022-06-30,42.72,$1.76,24.27
2022-03-31,56.74,$1.93,29.4
2021-12-31,48.89,$2.21,22.12
2021-09-30,47.37,$2.64,17.94
2021-06-30,54.9,$3.08,17.82
2021-03-31,52.24,$2.74,19.07
2020-12-31,63.32,$2.09,30.3
2020-09-30,71.1,$2.63,27.03
2020-06-30,57.07,$2.04,27.98
2020-03-31,35.34,$1.73,20.43
2019-12-31,54.5,$1.98,27.52
2019-09-30,47.28,$-1.08,0.0
2019-06-30,45.1,$-1.10,0.0
2019-03-31,38.17,$-0.96,0.0
2018-12-31,35.35,$-0.79,0.0
2017-09-30,39.12,$1.17,33.44
2017-06-30,38.97,$1.09,35.75
2017-03-31,36.58,$0.91,40.2
2016-12-31,36.11,$0.71,50.87
2016-09-30,46.48,$0.36,129.1
2016-06-30,45.8,$0.15,305.35
2016-03-31,30.9,$0.12,257.52
2015-12-31,22.41,$0.12,186.72
2015-09-30,21.52,$0.07,307.46
2015-06-30,24.04,$-0.01,0.0
2015-03-31,23.61,$0.14,168.66
2014-12-31,20.98,$0.63,33.31
2014-09-30,24.4,$-1.86,0.0
2014-06-30,32.12,$-1.52,0.0
2014-03-31,25.3,$-1.86,0.0
2013-12-31,22.01,$-2.34,0.0
2013-09-30,21.91,$0.75,29.21
2013-06-30,22.63,$1.10,20.57
2013-03-31,33.49,$1.49,22.48
2012-12-31,42.58,$1.81,23.53
2012-09-30,41.96,$-2.20,0.0
2012-06-30,32.58,$-3.29,0.0
2012-03-31,26.74,$-3.14,0.0
2011-12-31,28.94,$-3.34,0.0
2011-09-30,47.24,$0.70,67.49
2011-06-30,49.99,$1.88,26.59
2011-03-31,52.41,$2.11,24.84
2010-12-31,60.45,$1.99,30.38
2010-09-30,55.98,$1.78,31.45
2010-06-30,47.9,$0.96,49.9
2010-03-31,43.88,$0.34,129.05
2009-12-31,42.3,$0.55,76.91
2009-09-30,53.15,$0.32,166.09
2009-06-30,41.11,$0.45,91.35
2009-03-31,44.59,$0.63,70.77
2018-09-30,29.92,$0.43,69.59
