Shake Shack PE Ratio Historical Data,Shake Shack PE Ratio Historical Data,Shake Shack PE Ratio Historical Data,Shake Shack PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,108.4,,174.84
2024-06-30,90.0,$0.62,145.16
2024-03-31,104.03,$0.55,189.15
2023-12-31,74.12,$0.46,161.13
2023-09-30,58.07,$0.04,1451.75
2023-06-30,77.72,$-0.20,0.0
2023-03-31,55.49,$-0.39,0.0
2022-12-31,41.53,$-0.61,0.0
2022-09-30,44.98,$-0.59,0.0
2022-06-30,39.48,$-0.60,0.0
2022-03-31,67.9,$-0.52,0.0
2021-12-31,72.16,$-0.25,0.0
2021-09-30,78.46,$-0.50,0.0
2021-06-30,107.02,$-0.59,0.0
2021-03-31,112.77,$-1.07,0.0
2020-12-31,84.78,$-1.11,0.0
2020-09-30,64.48,$-0.67,0.0
2020-06-30,52.98,$-0.21,0.0
2020-03-31,37.74,$0.51,74.0
2019-12-31,59.57,$0.62,96.08
2019-09-30,98.04,$0.65,150.83
2019-06-30,72.2,$0.51,141.57
2019-03-31,59.15,$0.48,123.23
2018-12-31,45.42,$0.53,85.7
2018-09-30,63.01,$0.01,0.0
2018-06-30,66.18,$0.03,2206.0
2018-03-31,41.63,$-0.04,0.0
2017-12-31,43.2,$-0.08,0.0
2017-09-30,33.23,$0.62,53.6
2017-06-30,34.88,$0.58,60.14
2017-03-31,33.4,$0.53,63.02
2016-12-31,35.79,$0.51,70.18
2016-09-30,34.67,$0.43,80.63
2016-06-30,36.43,$0.38,95.87
2016-03-31,37.32,$0.32,116.63
2015-12-31,39.6,$-0.81,0.0
