Prestige Consumer Healthcare PE Ratio Historical Data,Prestige Consumer Healthcare PE Ratio Historical Data,Prestige Consumer Healthcare PE Ratio Historical Data,Prestige Consumer Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,72.3,,17.68
2024-06-30,68.85,$4.09,16.83
2024-03-31,72.56,$-1.72,0.0
2023-12-31,61.22,$-1.66,0.0
2023-09-30,57.19,$-1.70,0.0
2023-03-31,62.63,$-1.68,0.0
2022-12-31,62.6,$4.17,15.01
2022-09-30,49.83,$4.19,11.89
2022-06-30,58.8,$4.16,14.13
2022-03-31,52.94,$3.96,13.37
2023-06-30,59.43,$4.08,14.57
2021-12-31,60.65,$3.72,16.3
2021-09-30,56.11,$3.54,15.85
2021-06-30,52.1,$3.53,14.76
2021-03-31,44.08,$3.25,13.56
2020-12-31,34.87,$3.28,10.63
2020-09-30,36.42,$3.22,11.31
2020-06-30,37.56,$2.99,12.56
2020-03-31,36.68,$2.78,13.19
2019-12-31,40.5,$-0.63,0.0
2019-09-30,34.69,$-0.65,0.0
2019-06-30,31.68,$-0.71,0.0
2019-03-31,29.91,$-0.71,0.0
2018-12-31,30.88,$1.22,25.31
2018-09-30,37.89,$6.37,5.95
2018-06-30,37.91,$6.35,5.97
2018-03-31,33.31,$6.33,5.26
2017-12-31,43.86,$7.29,6.02
2017-09-30,49.47,$2.00,24.74
2017-06-30,52.16,$2.03,25.69
2017-03-31,54.88,$1.66,33.06
2016-12-31,51.46,$1.98,25.99
2016-09-30,47.68,$1.99,23.96
2016-03-31,52.73,$1.88,28.05
2015-12-31,50.85,$2.07,24.56
2015-09-30,44.6,$1.44,30.98
2015-06-30,45.67,$1.24,36.83
2015-03-31,42.36,$1.06,39.96
2016-06-30,54.72,$0.93,58.84
2014-12-31,34.29,$1.33,25.78
2014-09-30,31.97,$0.99,32.29
2014-06-30,33.47,$1.31,25.55
2014-03-31,26.91,$1.39,19.36
2013-12-31,35.36,$1.46,24.22
2013-09-30,29.75,$1.64,18.14
2013-06-30,28.78,$1.39,20.71
2013-03-31,25.37,$1.28,19.82
2012-12-31,19.78,$0.91,21.74
2012-09-30,16.75,$0.86,19.48
2012-06-30,15.62,$0.74,21.1
2012-03-31,17.26,$0.74,23.33
2011-12-31,11.13,$0.87,12.79
2011-09-30,8.94,$0.72,12.41
2011-06-30,12.68,$0.68,18.65
2011-03-31,11.36,$0.58,19.58
2010-12-31,11.8,$0.52,22.7
2010-09-30,9.77,$0.69,14.16
2010-06-30,6.99,$0.67,10.44
2010-03-31,8.89,$-3.74,0.0
2009-12-31,7.76,$-3.64,0.0
