MSA Safety Incorporporated PE Ratio Historical Data,MSA Safety Incorporporated PE Ratio Historical Data,MSA Safety Incorporporated PE Ratio Historical Data,MSA Safety Incorporporated PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,173.37,,25.2
2024-06-30,187.16,$6.88,27.2
2024-03-31,192.52,$6.75,28.52
2023-12-31,167.45,$1.45,115.49
2023-09-30,155.92,$0.83,187.86
2023-06-30,171.6,$0.32,536.24
2023-03-31,131.26,$-0.17,0.0
2022-12-31,141.29,$4.56,30.99
2022-09-30,106.73,$1.68,63.53
2022-06-30,117.83,$1.02,115.52
2022-03-31,128.66,$0.45,285.92
2021-12-31,145.9,$0.47,310.42
2021-09-30,140.41,$2.35,59.75
2021-06-30,159.13,$2.58,61.68
2021-03-31,143.8,$2.86,50.28
2020-12-31,142.83,$3.05,46.83
2020-09-30,127.89,$3.53,36.23
2020-06-30,108.71,$3.90,27.87
2020-03-31,95.79,$3.99,24.01
2019-12-31,119.25,$3.47,34.36
2019-09-30,102.62,$3.32,30.91
2019-06-30,98.71,$3.10,31.84
2019-03-31,96.46,$2.94,32.81
2018-12-31,87.62,$3.18,27.55
2018-09-30,98.59,$1.67,59.03
2018-06-30,88.89,$1.64,54.2
2018-03-31,76.49,$1.11,68.91
2017-12-31,70.9,$0.65,109.08
2017-09-30,72.4,$2.17,33.36
2017-06-30,73.53,$1.97,37.33
2017-03-31,63.75,$2.42,26.34
2016-12-31,62.23,$2.36,26.37
2016-09-30,51.8,$2.26,22.92
2016-06-30,46.6,$2.05,22.73
2016-03-31,42.6,$1.91,22.3
2015-12-31,37.99,$1.86,20.42
2015-09-30,34.68,$2.17,15.98
2015-06-30,41.81,$2.26,18.5
2015-03-31,42.69,$2.22,19.23
2014-12-31,45.14,$2.33,19.37
2014-09-30,41.78,$2.14,19.52
2014-06-30,48.34,$2.15,22.48
2014-03-31,47.65,$2.20,21.66
2013-12-31,42.81,$2.34,18.3
2013-09-30,42.88,$2.19,19.58
2013-06-30,38.45,$2.18,17.64
2013-03-31,40.74,$2.29,17.79
2012-12-31,34.86,$2.42,14.4
2012-09-30,29.98,$2.36,12.7
2012-06-30,32.11,$2.39,13.44
2012-03-31,32.56,$2.17,15.01
2011-12-31,26.06,$1.89,13.79
2011-09-30,21.05,$1.75,12.03
2011-06-30,28.89,$1.47,19.65
2011-03-31,28.18,$1.26,22.37
2010-12-31,23.75,$1.04,22.83
2010-09-30,20.49,$1.07,19.15
2010-06-30,18.54,$1.11,16.7
2010-03-31,20.73,$1.14,18.19
2009-12-31,19.47,$1.20,16.23
