ITT PE Ratio Historical Data,ITT PE Ratio Historical Data,ITT PE Ratio Historical Data,ITT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,149.88,,28.77
2024-06-30,128.87,$5.21,24.74
2023-12-31,118.74,$4.96,23.94
2023-09-30,97.17,$5.24,18.54
2023-06-30,92.25,$5.13,17.98
2023-03-31,85.12,$4.71,18.07
2022-12-31,79.74,$4.39,18.16
2022-09-30,64.04,$4.20,15.25
2022-06-30,65.67,$3.98,16.5
2022-03-31,73.16,$3.54,20.67
2021-12-31,99.06,$2.50,39.62
2021-09-30,83.03,$0.76,109.25
2021-06-30,88.38,$0.30,294.59
2020-12-31,73.94,$0.81,91.29
2020-09-30,56.57,$1.74,32.51
2020-06-30,56.12,$3.27,17.16
2020-03-31,43.2,$4.06,10.64
2019-12-31,70.14,$3.85,18.22
2021-03-31,87.5,$3.88,22.55
2019-09-30,57.95,$3.48,16.65
2019-06-30,61.86,$3.39,18.25
2019-03-31,54.66,$3.43,15.94
2018-12-31,45.37,$3.77,12.04
2018-09-30,57.44,$2.42,23.73
2018-06-30,48.9,$2.15,22.74
2018-03-31,45.71,$1.90,24.06
2017-12-31,49.68,$1.28,38.81
2017-09-30,41.11,$2.33,17.64
2017-06-30,37.19,$2.35,15.83
2017-03-31,37.84,$2.17,17.44
2016-12-31,35.47,$2.06,17.22
2016-09-30,32.86,$2.18,15.07
2016-06-30,29.22,$2.63,11.11
2016-03-31,33.59,$3.85,8.73
2015-12-31,33.07,$3.90,8.48
2015-09-30,30.44,$3.85,7.91
2015-06-30,38.1,$3.26,11.69
2015-03-31,36.34,$2.09,17.39
2014-12-31,36.84,$1.98,18.61
2014-09-30,40.92,$1.74,23.52
2014-06-30,43.8,$5.57,7.86
2014-03-31,38.94,$5.44,7.16
2013-12-31,39.54,$5.31,7.45
2013-09-30,32.66,$5.54,5.89
2013-06-30,26.64,$0.88,30.27
2013-03-31,25.66,$-5.08,0.0
2012-12-31,21.1,$-4.46,0.0
2012-03-31,20.36,$-3.01,0.0
2011-12-31,17.09,$-1.72,0.0
2011-09-30,18.48,$6.84,2.7
2011-06-30,25.86,$6.78,3.81
2011-03-31,26.24,$6.54,4.01
2010-12-31,22.67,$7.78,2.91
2012-09-30,18.05,$6.48,2.78
2010-09-30,20.27,$7.86,2.58
2010-06-30,19.33,$6.94,2.79
2010-03-31,22.95,$6.58,3.49
2009-12-31,21.19,$7.00,3.03
2009-09-30,22.13,$6.18,3.58
2009-06-30,18.8,$5.72,3.29
