Louisiana-Pacific PE Ratio Historical Data,Louisiana-Pacific PE Ratio Historical Data,Louisiana-Pacific PE Ratio Historical Data,Louisiana-Pacific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,103.44,,16.82
2024-06-30,82.1,$6.15,13.35
2024-03-31,83.44,$3.64,22.92
2023-12-31,70.17,$2.45,28.64
2023-09-30,54.53,$1.53,35.64
2023-06-30,73.7,$2.95,24.98
2023-03-31,53.08,$7.96,6.67
2022-12-31,57.72,$13.27,4.35
2022-09-30,49.71,$15.58,3.19
2022-06-30,50.71,$16.40,3.09
2022-03-31,59.91,$16.57,3.62
2021-12-31,75.32,$13.97,5.39
2021-09-30,58.84,$14.11,4.17
2021-06-30,57.62,$11.81,4.88
2021-03-31,52.87,$7.20,7.34
2020-12-31,35.32,$4.49,7.87
2020-09-30,27.9,$1.71,16.32
2020-06-30,24.14,$0.16,150.9
2020-03-31,16.05,$0.01,0.0
2019-12-31,27.6,$-0.08,0.0
2019-09-30,22.76,$0.48,47.42
2019-06-30,24.14,$1.32,18.29
2019-03-31,22.32,$2.29,9.75
2018-12-31,20.24,$2.71,7.47
2018-09-30,23.99,$3.48,6.89
2018-06-30,24.54,$3.37,7.28
2018-03-31,25.82,$2.91,8.87
2017-12-31,23.46,$2.67,8.79
2017-09-30,24.2,$2.07,11.69
2017-06-30,21.54,$1.77,12.17
2017-03-31,22.18,$1.34,16.55
2016-12-31,16.91,$1.03,16.42
2016-09-30,16.82,$0.69,24.38
2016-06-30,15.5,$0.05,310.03
2016-03-31,15.3,$-0.31,0.0
2015-12-31,16.09,$-0.62,0.0
2015-09-30,12.72,$-0.87,0.0
2015-06-30,15.22,$-0.82,0.0
2015-03-31,14.75,$-0.67,0.0
2014-12-31,14.8,$-0.53,0.0
2014-09-30,12.14,$-0.38,0.0
2014-06-30,13.42,$0.02,671.0
2014-03-31,15.07,$0.66,22.84
2013-12-31,16.54,$1.21,13.67
2013-09-30,15.72,$1.68,9.35
2013-06-30,13.21,$1.64,8.06
2013-03-31,19.3,$0.72,26.8
2012-12-31,17.26,$0.19,90.85
2012-09-30,11.17,$-0.47,0.0
2012-06-30,9.72,$-1.18,0.0
2012-03-31,8.35,$-1.18,0.0
2011-12-31,7.21,$-1.28,0.0
2011-09-30,4.56,$-0.99,0.0
2011-06-30,7.27,$-0.74,0.0
2011-03-31,9.38,$-0.31,0.0
2010-12-31,8.45,$-0.31,0.0
2010-09-30,6.76,$-0.66,0.0
2010-06-30,5.98,$-0.55,0.0
2010-03-31,8.09,$-0.99,0.0
2009-12-31,6.24,$-1.11,0.0
