CareTrust REIT PE Ratio Historical Data,CareTrust REIT PE Ratio Historical Data,CareTrust REIT PE Ratio Historical Data,CareTrust REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.66,,51.97
2024-06-30,24.87,$0.59,42.15
2024-03-31,23.87,$0.52,45.9
2023-12-31,21.66,$0.49,44.2
2023-09-30,19.6,$0.42,46.66
2023-06-30,18.73,$0.35,53.51
2023-03-31,18.21,$0.56,32.51
2022-12-31,17.03,$-0.08,0.0
2022-09-30,16.36,$-0.04,0.0
2022-06-30,16.4,$0.07,234.3
2022-03-31,16.92,$0.08,211.47
2021-12-31,19.73,$0.74,26.66
2021-09-30,17.36,$0.77,22.55
2021-06-30,19.59,$0.88,22.27
2021-03-31,19.42,$0.86,22.58
2020-12-31,18.29,$0.85,21.52
2020-09-30,14.51,$0.85,17.07
2020-06-30,13.8,$0.51,27.05
2020-03-31,11.72,$0.52,22.54
2019-12-31,16.09,$0.50,32.18
2019-09-30,18.13,$0.46,39.42
2019-06-30,18.17,$0.75,24.23
2019-03-31,17.76,$0.71,25.01
2018-12-31,13.84,$0.72,19.22
2018-09-30,13.13,$0.57,23.04
2018-06-30,12.23,$0.54,22.65
2018-03-31,9.7,$0.40,24.26
2017-12-31,11.95,$0.36,33.2
2017-09-30,13.43,$0.47,28.58
2017-06-30,12.95,$0.45,28.78
2017-03-31,11.64,$0.55,21.16
2016-12-31,10.48,$0.51,20.55
2016-09-30,10.0,$0.47,21.27
2016-06-30,9.22,$0.36,25.61
2016-03-31,8.39,$0.30,27.96
2015-12-31,7.14,$0.25,28.55
2015-09-30,7.29,$0.18,40.52
2015-06-30,8.03,$0.25,32.11
2015-03-31,8.49,$-0.29,0.0
