Jones Lang LaSalle PE Ratio Historical Data,Jones Lang LaSalle PE Ratio Historical Data,Jones Lang LaSalle PE Ratio Historical Data,Jones Lang LaSalle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,265.7,,33.55
2024-06-30,205.28,$7.92,25.92
2024-03-31,195.09,$6.22,31.36
2023-12-31,188.87,$4.66,40.53
2023-09-30,141.18,$4.71,29.97
2023-06-30,155.8,$6.36,24.5
2023-03-31,145.49,$10.21,14.25
2022-12-31,159.37,$13.26,12.02
2022-09-30,151.07,$17.80,8.49
2022-06-30,174.86,$19.49,8.97
2022-03-31,239.46,$19.41,12.34
2021-12-31,269.34,$18.52,14.54
2021-09-30,248.09,$15.16,16.36
2021-06-30,195.46,$13.11,14.91
2021-03-31,179.04,$9.58,18.69
2020-12-31,148.37,$7.71,19.24
2020-09-30,95.66,$8.14,11.75
2020-06-30,103.46,$8.09,12.79
2020-03-31,100.98,$10.20,9.9
2019-12-31,174.09,$10.56,16.49
2019-09-30,138.69,$9.70,14.3
2019-06-30,140.32,$10.16,13.81
2019-03-31,153.29,$10.11,15.16
2018-12-31,125.87,$10.53,11.95
2018-09-30,143.06,$7.87,18.18
2018-06-30,164.54,$6.83,24.09
2018-03-31,172.7,$6.19,27.9
2017-12-31,147.28,$5.55,26.54
2017-09-30,121.83,$7.46,16.33
2017-06-30,123.31,$6.62,18.63
2017-03-31,109.61,$6.64,16.51
2016-12-31,99.37,$10.71,9.28
2016-09-30,111.52,$9.52,11.71
2016-06-30,95.5,$10.45,9.14
2015-12-31,156.23,$9.64,16.21
2015-09-30,140.26,$9.61,14.6
2015-06-30,166.82,$9.48,17.6
2015-03-31,165.97,$9.08,18.28
2014-12-31,146.03,$8.51,17.16
2014-09-30,122.83,$7.49,16.4
2014-06-30,122.88,$6.58,18.68
2014-03-31,114.99,$6.03,19.07
2013-12-31,99.35,$5.97,16.64
2013-09-30,84.51,$5.09,16.6
2013-06-30,88.23,$4.80,18.38
2013-03-31,96.02,$4.60,20.87
2012-12-31,81.08,$4.62,17.55
2012-09-30,73.55,$4.15,17.72
2012-06-30,67.79,$3.81,17.79
2012-03-31,80.05,$3.97,20.16
2011-12-31,58.86,$3.69,15.95
2011-09-30,49.66,$3.69,13.46
2011-06-30,90.39,$3.77,23.98
2011-03-31,95.45,$3.50,27.27
2010-12-31,80.31,$4.03,19.93
2010-09-30,82.47,$3.31,24.91
2010-06-30,62.75,$2.93,21.41
2016-03-31,114.66,$1.81,63.35
2009-12-31,57.66,$-0.53,0.0
2009-09-30,45.14,$-1.71,0.0
