Descartes Systems Group PE Ratio Historical Data,Descartes Systems Group PE Ratio Historical Data,Descartes Systems Group PE Ratio Historical Data,Descartes Systems Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.0,,72.3
2024-07-31,101.65,$1.48,68.68
2024-04-30,92.79,$1.40,66.28
2024-01-31,87.59,$1.34,65.37
2023-10-31,72.21,$1.31,55.12
2023-07-31,77.87,$1.31,59.44
2023-04-30,79.18,$1.26,62.84
2023-01-31,73.02,$1.19,61.36
2022-10-31,69.07,$1.07,64.55
2022-07-31,69.04,$1.06,65.13
2022-04-30,62.15,$1.06,58.63
2022-01-31,72.77,$1.00,72.77
2021-10-31,81.77,$0.98,83.44
2021-07-31,72.66,$0.83,87.54
2021-04-30,64.06,$0.68,94.21
2021-01-31,61.06,$0.60,101.77
2020-10-31,53.76,$0.53,101.43
2020-07-31,56.33,$0.49,114.96
2020-04-30,42.08,$0.47,89.53
2020-01-31,44.81,$0.43,104.21
2019-10-31,38.91,$0.40,97.28
2019-07-31,36.3,$0.39,93.08
2019-04-30,39.98,$0.40,99.95
2019-01-31,31.06,$0.40,77.65
2018-10-31,30.59,$0.39,78.44
2018-07-31,31.9,$0.37,86.22
2018-04-30,29.55,$0.35,84.43
2018-01-31,28.35,$0.35,81.0
2017-10-31,29.05,$0.34,85.44
2017-07-31,25.1,$0.34,73.82
2017-04-30,23.15,$0.33,70.15
2017-01-31,21.85,$0.32,68.28
2016-10-31,20.8,$0.31,67.1
2016-07-31,20.2,$0.30,67.33
2016-04-30,18.43,$0.29,63.55
2016-01-31,17.8,$0.27,65.93
2015-10-31,17.49,$0.25,69.96
2015-07-31,16.87,$0.23,73.35
2015-04-30,15.0,$0.21,71.43
2015-01-31,15.32,$0.21,72.95
2014-10-31,13.87,$0.20,69.35
2014-07-31,13.5,$0.18,75.0
2014-04-30,13.56,$0.16,84.75
2014-01-31,14.38,$0.14,102.71
2013-10-31,12.38,$0.22,56.27
2013-07-31,11.27,$0.24,46.96
2013-04-30,9.95,$0.25,39.8
2013-01-31,9.41,$0.25,37.64
2012-10-31,8.6,$0.20,43.0
2012-07-31,8.32,$0.19,43.79
2012-04-30,8.31,$0.19,43.74
2012-01-31,8.04,$0.18,44.67
2011-10-31,7.44,$0.23,32.35
2011-07-31,6.89,$0.22,31.32
2011-04-30,6.63,$0.21,31.57
2011-01-31,6.97,$0.18,38.72
2010-10-31,6.32,$0.23,27.48
2010-07-31,5.93,$0.22,26.95
2010-04-30,6.13,$0.21,29.19
2010-01-31,5.93,$0.25,23.72
2009-10-31,5.22,$0.37,14.11
