Alnylam Pharmaceuticals PE Ratio Historical Data,Alnylam Pharmaceuticals PE Ratio Historical Data,Alnylam Pharmaceuticals PE Ratio Historical Data,Alnylam Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,296.75,,0.0
2024-06-30,243.0,$-0.60,0.0
2024-03-31,149.45,$-2.68,0.0
2023-12-31,191.41,$-3.56,0.0
2023-09-30,177.1,$-4.14,0.0
2023-06-30,189.94,$-8.61,0.0
2023-03-31,200.32,$-8.69,0.0
2022-12-31,237.65,$-9.29,0.0
2022-09-30,200.16,$-9.77,0.0
2022-06-30,145.85,$-8.17,0.0
2022-03-31,163.29,$-7.49,0.0
2021-12-31,169.58,$-7.20,0.0
2021-09-30,188.81,$-7.13,0.0
2021-06-30,169.52,$-7.59,0.0
2021-03-31,141.19,$-7.54,0.0
2020-12-31,129.97,$-7.45,0.0
2020-09-30,145.6,$-7.83,0.0
2020-06-30,148.11,$-7.57,0.0
2020-03-31,108.85,$-8.03,0.0
2019-12-31,115.17,$-8.14,0.0
2019-09-30,80.42,$-7.76,0.0
2019-06-30,72.56,$-8.27,0.0
2019-03-31,93.45,$-7.88,0.0
2018-12-31,72.91,$-7.56,0.0
2018-09-30,87.52,$-6.95,0.0
2018-06-30,98.49,$-5.86,0.0
2018-03-31,119.1,$-5.57,0.0
2017-12-31,127.05,$-5.41,0.0
2017-09-30,117.49,$-5.25,0.0
2017-06-30,79.76,$-5.12,0.0
2017-03-31,51.25,$-4.83,0.0
2016-12-31,37.44,$-4.79,0.0
2016-09-30,67.78,$-4.54,0.0
2016-06-30,55.49,$-4.24,0.0
2016-03-31,62.77,$-4.04,0.0
2015-12-31,94.14,$-3.45,0.0
2015-09-30,80.36,$-2.66,0.0
2015-06-30,119.87,$-2.33,0.0
2015-03-31,104.42,$-2.06,0.0
2014-12-31,97.0,$-5.14,0.0
2014-09-30,78.1,$-5.37,0.0
2014-06-30,63.17,$-5.27,0.0
2014-03-31,67.14,$-4.98,0.0
2013-12-31,64.3,$-1.43,0.0
2013-09-30,64.01,$-2.12,0.0
2013-06-30,31.0,$-2.02,0.0
2013-03-31,24.37,$-1.98,0.0
2012-12-31,18.25,$-2.08,0.0
2012-09-30,18.79,$-1.21,0.0
2012-06-30,11.65,$-1.14,0.0
2012-03-31,11.07,$-1.22,0.0
2011-12-31,8.15,$-1.35,0.0
2011-09-30,6.57,$-1.18,0.0
2011-06-30,9.37,$-1.10,0.0
2011-03-31,9.56,$-1.12,0.0
2010-12-31,9.86,$-1.03,0.0
2010-09-30,12.27,$-1.06,0.0
2010-06-30,15.02,$-1.05,0.0
2010-03-31,17.02,$-1.25,0.0
2009-12-31,17.62,$-1.15,0.0
