Gildan Activewear PE Ratio Historical Data,Gildan Activewear PE Ratio Historical Data,Gildan Activewear PE Ratio Historical Data,Gildan Activewear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.41,,19.43
2024-06-30,37.74,$2.44,15.47
2024-03-31,36.74,$2.96,12.41
2023-12-31,32.51,$3.03,10.73
2023-09-30,27.4,$2.61,10.5
2023-06-30,31.34,$2.72,11.52
2023-03-31,32.06,$2.70,11.87
2022-12-31,26.3,$2.93,8.98
2022-09-30,26.98,$3.35,8.05
2022-06-30,27.32,$3.46,7.9
2022-03-31,35.37,$3.35,10.56
2021-12-31,39.83,$3.08,12.93
2021-09-30,34.18,$2.53,13.51
2021-06-30,34.32,$1.86,18.45
2021-03-31,28.38,$-0.14,0.0
2020-12-31,25.92,$-1.14,0.0
2020-09-30,18.2,$-1.32,0.0
2020-06-30,14.34,$-1.09,0.0
2020-03-31,11.81,$0.66,17.89
2019-12-31,27.11,$1.27,21.35
2019-09-30,32.44,$1.40,23.17
2019-06-30,35.21,$1.44,24.45
2019-03-31,32.63,$1.46,22.35
2018-12-31,27.43,$1.66,16.53
2018-09-30,27.4,$1.62,16.91
2018-06-30,25.26,$1.59,15.89
2018-03-31,25.81,$1.56,16.55
2017-12-31,28.75,$1.61,17.86
2017-09-30,27.76,$1.68,16.52
2017-06-30,27.18,$1.65,16.48
2017-03-31,23.84,$1.57,15.18
2016-12-31,22.29,$1.47,15.16
2016-09-30,24.48,$1.43,17.12
2016-06-30,25.62,$1.44,17.79
2016-03-31,26.58,$1.45,18.33
2015-12-31,24.69,$1.42,17.39
2015-09-30,26.14,$0.97,26.95
2015-06-30,28.76,$0.97,29.65
2015-03-31,25.49,$1.03,24.74
2014-12-31,24.36,$1.12,21.75
2014-09-30,23.51,$1.46,16.11
2014-06-30,25.25,$1.36,18.57
2014-03-31,21.57,$1.36,15.86
2013-12-31,22.77,$1.34,16.99
2013-09-30,19.8,$1.32,15.0
2013-06-30,17.23,$1.29,13.36
2013-03-31,16.94,$1.14,14.86
2012-12-31,15.49,$0.95,16.31
2012-09-30,13.38,$0.61,21.94
2012-06-30,11.6,$0.44,26.35
2012-03-31,11.57,$0.51,22.69
2011-12-31,7.87,$0.65,12.1
2011-09-30,10.77,$0.99,10.88
2011-06-30,14.62,$1.03,14.19
2011-03-31,13.59,$0.91,14.93
2010-12-31,11.78,$0.86,13.7
2010-09-30,11.62,$0.83,14.0
2010-06-30,11.85,$0.77,15.39
2010-03-31,10.87,$0.67,16.23
2009-12-31,10.08,$0.50,20.17
