TransUnion PE Ratio Historical Data,TransUnion PE Ratio Historical Data,TransUnion PE Ratio Historical Data,TransUnion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.0,,0.0
2024-06-30,74.08,$-1.27,0.0
2024-03-31,79.61,$-1.43,0.0
2023-12-31,68.45,$-1.49,0.0
2023-09-30,71.39,$-1.28,0.0
2023-06-30,77.79,$1.20,64.82
2023-03-31,61.62,$1.41,43.7
2022-12-31,56.18,$1.39,40.42
2022-09-30,58.8,$6.42,9.16
2022-06-30,78.95,$6.60,11.96
2022-03-31,101.89,$6.77,15.05
2021-12-31,116.8,$7.18,16.27
2021-09-30,110.53,$2.44,45.3
2021-06-30,107.98,$2.38,45.37
2021-03-31,88.42,$2.08,42.51
2020-12-31,97.4,$1.85,52.65
2020-09-30,82.52,$1.80,45.84
2020-06-30,85.3,$1.80,47.39
2019-12-31,83.74,$1.81,46.26
2019-09-30,79.27,$1.91,41.5
2019-06-30,71.78,$1.80,39.88
2019-03-31,65.19,$1.51,43.17
2018-12-31,55.33,$1.43,38.69
2020-03-31,64.8,$1.28,50.62
2018-09-30,71.59,$2.20,32.54
2018-06-30,69.63,$2.32,30.01
2018-03-31,55.13,$2.37,23.26
2017-12-31,53.36,$2.32,23.0
2017-09-30,45.88,$1.30,35.29
2017-06-30,42.05,$1.16,36.25
2017-03-31,37.23,$0.91,40.92
2016-12-31,30.03,$0.65,46.2
2016-09-30,33.5,$0.48,69.78
2016-06-30,32.47,$0.24,135.27
2016-03-31,26.81,$0.13,206.2
