Denali Therapeutics PE Ratio Historical Data,Denali Therapeutics PE Ratio Historical Data,Denali Therapeutics PE Ratio Historical Data,Denali Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.42,,0.0
2024-06-30,23.22,$-2.85,0.0
2024-03-31,20.52,$-0.96,0.0
2023-12-31,21.46,$-1.08,0.0
2023-09-30,20.63,$-0.97,0.0
2023-06-30,29.51,$-1.09,0.0
2023-03-31,23.04,$-2.87,0.0
2022-12-31,27.81,$-2.60,0.0
2022-09-30,30.69,$-2.47,0.0
2022-06-30,29.43,$-2.32,0.0
2022-03-31,32.17,$-2.34,0.0
2021-12-31,44.6,$-2.39,0.0
2021-09-30,50.45,$0.14,360.36
2021-06-30,78.44,$0.29,270.48
2021-03-31,57.1,$0.23,248.26
2020-12-31,83.76,$0.26,322.15
2020-09-30,35.83,$-2.21,0.0
2020-06-30,24.18,$-2.15,0.0
2020-03-31,17.51,$-2.20,0.0
2019-12-31,17.42,$-2.06,0.0
2019-09-30,15.32,$-0.71,0.0
2019-06-30,20.76,$-0.61,0.0
2019-03-31,23.22,$-0.59,0.0
2018-12-31,20.66,$-0.44,0.0
2018-09-30,21.74,$-1.97,0.0
