Polaris PE Ratio Historical Data,Polaris PE Ratio Historical Data,Polaris PE Ratio Historical Data,Polaris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.6,,14.47
2024-06-30,77.69,$5.71,13.61
2024-03-31,99.33,$6.82,14.56
2023-12-31,93.35,$8.70,10.73
2023-09-30,101.78,$10.23,9.95
2023-06-30,117.51,$10.71,10.97
2023-03-31,106.86,$8.31,12.86
2022-12-31,97.0,$7.50,12.93
2022-09-30,91.35,$5.56,16.43
2022-06-30,94.28,$4.30,21.93
2022-03-31,99.42,$6.90,14.41
2021-12-31,103.21,$7.87,13.11
2021-09-30,111.74,$9.62,11.62
2021-06-30,127.22,$10.44,12.19
2021-03-31,123.42,$4.10,30.1
2020-12-31,87.61,$3.57,24.54
2020-09-30,86.19,$1.84,46.84
2020-06-30,84.04,$0.60,140.07
2019-12-31,91.07,$5.20,17.51
2019-09-30,78.32,$5.09,15.39
2019-06-30,80.59,$3.58,22.51
2019-03-31,74.02,$3.66,20.22
2018-12-31,66.75,$4.31,15.49
2020-03-31,43.44,$3.69,11.77
2018-09-30,87.33,$4.27,20.45
2018-06-30,105.12,$4.05,25.95
2018-03-31,98.0,$3.59,27.3
2017-12-31,105.55,$2.69,39.24
2017-09-30,88.66,$3.17,27.97
2017-06-30,77.67,$2.39,32.5
2017-03-31,70.09,$2.51,27.92
2016-12-31,68.45,$3.27,20.93
2016-09-30,63.93,$3.96,16.15
2016-06-30,67.09,$5.76,11.65
2016-03-31,80.29,$6.16,13.03
2015-12-31,69.66,$6.75,10.32
2015-09-30,96.66,$7.07,13.67
2015-06-30,118.96,$6.83,17.42
2015-03-31,112.91,$6.76,16.7
2014-12-31,120.62,$6.65,18.14
2014-09-30,119.1,$6.23,19.12
2014-06-30,103.22,$5.76,17.92
2014-03-31,110.32,$5.47,20.17
2013-12-31,114.58,$5.52,20.76
2013-09-30,101.31,$5.29,19.15
2013-06-30,74.23,$4.68,15.86
2012-12-31,65.14,$4.40,14.81
2012-09-30,62.33,$4.06,15.35
2012-06-30,54.83,$3.80,14.43
2012-03-31,55.08,$3.77,14.61
2011-12-31,42.5,$3.61,11.79
2013-03-31,71.95,$3.38,21.32
2011-09-30,37.8,$3.08,12.27
2011-06-30,41.88,$2.82,14.88
2011-03-31,32.65,$2.51,13.03
2010-12-31,29.09,$2.13,13.66
2010-09-30,24.14,$2.01,12.01
2010-06-30,20.12,$1.80,11.21
2010-03-31,18.72,$1.69,11.11
2009-12-31,15.83,$1.52,10.41
