Macerich PE Ratio Historical Data,Macerich PE Ratio Historical Data,Macerich PE Ratio Historical Data,Macerich PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.72,,0.0
2024-06-30,15.27,$-0.33,0.0
2024-03-31,16.85,$-1.56,0.0
2023-12-31,14.95,$-1.27,0.0
2023-09-30,10.39,$-1.55,0.0
2023-06-30,10.58,$-0.40,0.0
2023-03-31,9.77,$-0.40,0.0
2022-12-31,10.25,$-0.30,0.0
2022-09-30,7.12,$-0.39,0.0
2022-06-30,7.71,$0.18,42.83
2022-03-31,13.67,$0.20,68.35
2021-12-31,14.96,$-0.03,0.0
2021-09-30,14.37,$-1.14,0.0
2021-06-30,15.54,$-1.79,0.0
2021-03-31,9.86,$-1.92,0.0
2020-12-31,8.88,$-1.47,0.0
2020-09-30,5.53,$-0.09,0.0
2020-06-30,7.17,$0.39,18.38
2020-03-31,4.43,$0.68,6.51
2019-12-31,20.51,$0.68,30.15
2019-09-30,23.45,$0.57,41.13
2019-06-30,24.24,$0.76,31.89
2019-03-31,30.8,$0.70,44.0
2018-12-31,30.23,$0.88,34.35
2018-09-30,38.06,$0.92,41.36
2018-06-30,38.62,$0.59,65.45
2017-12-31,43.53,$1.02,42.68
2017-09-30,36.01,$1.05,34.29
2017-06-30,37.54,$1.02,36.81
2017-03-31,41.17,$1.14,36.12
2016-12-31,44.81,$3.42,13.1
2016-09-30,50.63,$5.81,8.71
2016-06-30,53.03,$5.93,8.94
2016-03-31,48.78,$5.71,8.54
2015-12-31,49.23,$3.10,15.88
2015-09-30,43.51,$9.96,4.37
2015-06-30,41.91,$10.00,4.19
2015-03-31,47.0,$10.02,4.69
2014-12-31,46.14,$10.00,4.61
2014-09-30,34.98,$1.52,23.01
2014-06-30,36.23,$1.54,23.53
2014-03-31,33.52,$3.00,11.17
2013-12-31,31.35,$3.00,10.45
2013-09-30,29.72,$3.24,9.17
2013-06-30,31.78,$3.30,9.63
2013-03-31,33.28,$2.73,12.19
2012-12-31,29.85,$3.83,7.79
2012-09-30,29.01,$2.66,10.91
2012-06-30,29.65,$2.18,13.6
2011-12-31,24.93,$1.18,21.13
2011-09-30,20.78,$0.13,159.83
2011-06-30,25.82,$-0.08,0.0
2011-03-31,23.66,$0.13,182.04
2010-12-31,22.41,$0.12,186.72
2012-03-31,28.73,$-0.14,0.0
2010-09-30,20.1,$-0.21,0.0
2010-06-30,17.25,$1.48,11.66
2010-03-31,17.5,$1.25,14.0
2009-12-31,16.1,$1.04,15.48
2009-09-30,13.33,$1.40,9.52
