Entegris PE Ratio Historical Data,Entegris PE Ratio Historical Data,Entegris PE Ratio Historical Data,Entegris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,104.16,,85.38
2024-06-30,135.29,$1.22,110.89
2024-03-31,140.32,$2.08,67.46
2023-12-31,119.53,$2.16,55.34
2023-09-30,93.58,$1.41,66.37
2023-06-30,110.32,$1.92,57.46
2022-12-31,65.13,$1.53,42.57
2022-09-30,82.33,$2.02,40.76
2022-06-30,91.28,$1.93,47.3
2022-03-31,129.94,$2.06,63.08
2021-12-31,137.08,$1.79,76.58
2023-03-31,81.53,$1.54,52.94
2021-09-30,124.46,$2.76,45.1
2021-06-30,121.48,$2.48,48.98
2021-03-31,110.37,$2.33,47.37
2020-12-31,94.8,$2.16,43.89
2020-09-30,73.26,$1.95,37.57
2020-06-30,58.12,$1.67,34.8
2020-03-31,44.0,$2.08,21.15
2019-12-31,49.16,$1.87,26.29
2019-09-30,46.11,$2.02,22.83
2019-06-30,36.5,$2.06,17.72
2019-03-31,34.85,$1.53,22.77
2018-12-31,27.24,$1.69,16.12
2018-09-30,28.19,$0.92,30.64
2018-06-30,32.95,$0.86,38.31
2018-03-31,33.75,$0.71,47.53
2017-12-31,29.47,$0.49,60.14
2017-09-30,27.86,$0.84,33.17
2017-03-31,22.6,$0.79,28.6
2016-12-31,17.29,$0.67,25.8
2016-09-30,16.82,$0.61,27.58
2016-06-30,13.97,$0.74,18.88
2016-03-31,13.15,$0.68,19.34
2015-12-31,12.81,$0.74,17.32
2017-06-30,21.2,$0.73,29.04
2015-09-30,12.74,$0.52,24.5
2015-06-30,14.07,$0.34,41.38
2015-03-31,13.22,$0.06,220.34
2014-12-31,12.76,$0.05,255.14
2014-09-30,11.11,$0.15,74.04
2014-06-30,13.27,$0.29,45.77
2014-03-31,11.69,$0.54,21.66
2013-12-31,11.19,$0.56,19.99
2013-09-30,9.81,$0.47,20.88
2013-06-30,9.06,$0.47,19.28
2013-03-31,9.52,$0.49,19.43
2012-12-31,8.87,$0.50,17.73
2012-09-30,7.85,$0.72,10.9
2012-06-30,8.25,$0.75,11.0
2012-03-31,9.02,$0.83,10.87
2011-12-31,8.43,$0.92,9.16
2011-09-30,6.16,$0.82,7.51
2011-06-30,9.77,$0.83,11.77
2011-03-31,8.48,$0.73,11.61
2010-12-31,7.21,$0.63,11.45
2010-09-30,4.51,$0.51,8.84
2010-06-30,3.83,$0.27,14.2
2010-03-31,4.86,$-0.07,0.0
2009-12-31,5.1,$-0.53,0.0
