Futu Holdings PE Ratio Historical Data,Futu Holdings PE Ratio Historical Data,Futu Holdings PE Ratio Historical Data,Futu Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,89.71,,23.18
2024-06-30,65.61,$3.87,16.95
2024-03-31,54.15,$3.78,14.33
2023-12-31,54.63,$3.91,13.97
2023-09-30,57.81,$3.97,14.56
2023-06-30,39.74,$3.65,10.89
2023-03-31,51.85,$3.20,16.2
2022-12-31,40.65,$2.61,15.57
2022-09-30,37.29,$2.16,17.26
2022-06-30,52.21,$1.98,26.37
2022-03-31,32.56,$1.86,17.51
2021-12-31,43.3,$2.40,18.04
2021-09-30,91.02,$2.47,36.85
2021-06-30,179.09,$2.02,88.66
2021-03-31,158.82,$1.59,99.89
2020-12-31,45.75,$0.62,73.79
2019-12-31,10.32,$0.20,51.6
2019-09-30,10.97,$0.54,20.31
2019-06-30,10.57,$0.76,13.91
2019-03-31,18.52,$0.86,21.53
