UMB Financial PE Ratio Historical Data,UMB Financial PE Ratio Historical Data,UMB Financial PE Ratio Historical Data,UMB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,111.67,,14.41
2024-06-30,83.1,$7.75,10.72
2024-03-31,86.24,$7.53,11.45
2023-12-31,82.44,$7.18,11.48
2023-09-30,60.91,$7.79,7.82
2023-06-30,59.42,$7.62,7.8
2023-03-31,55.99,$8.60,6.51
2022-12-31,80.64,$8.87,9.09
2022-09-30,81.0,$8.42,9.62
2022-06-30,82.4,$8.55,9.64
2022-03-31,92.6,$7.51,12.33
2021-12-31,100.75,$7.25,13.9
2021-09-30,91.5,$8.88,10.3
2021-06-30,87.68,$8.46,10.36
2021-03-31,86.7,$7.93,10.93
2020-12-31,64.56,$5.95,10.85
2020-09-30,45.65,$4.06,11.24
2020-06-30,47.74,$3.81,12.53
2020-03-31,42.73,$3.71,11.52
2019-12-31,62.83,$4.96,12.67
2019-09-30,58.84,$4.13,14.25
2019-06-30,59.69,$4.02,14.85
2019-03-31,57.8,$3.97,14.56
2018-12-31,54.78,$3.93,13.94
2018-09-30,63.4,$5.66,11.2
2018-06-30,67.91,$5.47,12.41
2018-03-31,64.25,$5.22,12.31
2017-12-31,63.59,$4.97,12.8
2017-09-30,65.62,$3.59,18.28
2017-06-30,65.68,$3.47,18.93
2017-03-31,65.84,$3.37,19.54
2016-12-31,67.2,$3.22,20.87
2016-09-30,51.64,$2.95,17.5
2016-06-30,46.03,$2.56,17.98
2016-03-31,44.47,$2.45,18.15
2015-12-31,39.9,$2.45,16.29
2015-09-30,43.33,$2.44,17.76
2015-06-30,48.4,$2.76,17.54
2015-03-31,44.71,$2.87,15.58
2014-12-31,47.87,$2.65,18.06
2014-09-30,45.71,$2.83,16.15
2014-06-30,52.91,$2.88,18.37
2014-03-31,53.8,$2.87,18.75
2013-12-31,53.27,$3.22,16.54
2013-09-30,44.87,$2.97,15.11
2013-06-30,45.79,$2.78,16.47
2013-03-31,40.2,$2.75,14.62
2012-12-31,35.73,$3.03,11.79
2012-09-30,39.49,$3.09,12.78
2012-06-30,41.39,$3.09,13.4
2012-03-31,35.98,$3.02,11.91
2011-12-31,29.82,$2.63,11.34
2011-09-30,25.53,$2.52,10.13
2011-06-30,33.16,$2.45,13.53
2011-03-31,29.44,$2.37,12.42
2010-12-31,32.49,$2.26,14.38
2010-09-30,27.71,$2.38,11.64
2010-06-30,27.6,$2.40,11.5
2010-03-31,31.35,$2.30,13.63
2009-12-31,30.24,$2.20,13.75
