Toll Brothers PE Ratio Historical Data,Toll Brothers PE Ratio Historical Data,Toll Brothers PE Ratio Historical Data,Toll Brothers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,156.67,,10.8
2024-07-31,142.49,$14.51,9.82
2024-04-30,118.68,$14.64,8.11
2024-01-31,98.8,$12.94,7.64
2023-10-31,70.18,$12.39,5.66
2023-07-31,79.49,$13.91,5.71
2023-04-30,63.07,$12.53,5.03
2023-01-31,58.5,$11.53,5.07
2022-10-31,42.2,$11.07,3.81
2022-07-31,47.97,$8.46,5.67
2022-04-30,45.04,$7.98,5.64
2022-01-31,57.02,$7.14,7.99
2021-10-31,58.04,$6.66,8.71
2021-07-31,57.0,$5.19,10.98
2021-04-30,60.12,$4.22,14.25
2021-01-31,48.85,$3.80,12.86
2020-10-31,40.32,$3.45,11.69
2020-07-31,36.35,$3.31,10.98
2020-04-30,22.78,$3.41,6.68
2020-01-31,41.87,$3.69,11.35
2019-10-31,37.43,$4.04,9.27
2019-07-31,33.76,$4.71,7.17
2019-04-30,35.65,$4.97,7.17
2019-01-31,34.47,$4.82,7.15
2018-10-31,31.31,$4.89,6.4
2018-07-31,32.69,$3.98,8.21
2018-04-30,38.97,$3.59,10.85
2018-01-31,42.94,$3.60,11.93
2017-10-31,42.38,$3.19,13.28
2017-07-31,35.45,$2.69,13.18
2017-04-30,33.0,$2.43,13.58
2017-01-31,28.69,$2.21,12.98
2016-10-31,25.1,$2.19,11.46
2016-07-31,25.62,$2.32,11.05
2016-04-30,24.98,$2.07,12.07
2016-01-31,25.27,$1.93,13.09
2015-10-31,32.91,$1.97,16.7
2015-07-31,35.61,$1.88,18.94
2015-04-30,32.51,$2.05,15.86
2015-01-31,31.67,$2.03,15.6
2014-10-31,29.23,$1.84,15.89
2014-07-31,29.91,$1.67,17.91
2014-04-30,31.32,$1.40,22.37
2014-01-31,33.62,$1.19,28.25
2013-10-31,30.08,$0.96,31.33
2013-07-31,30.07,$2.77,10.86
2013-04-30,31.39,$2.87,10.94
2013-01-31,34.26,$2.83,12.11
2012-10-31,30.2,$2.79,10.82
2012-07-31,26.69,$0.53,50.35
2012-04-30,23.24,$0.42,55.33
2012-01-31,19.95,$0.20,99.76
2011-10-31,15.95,$0.24,66.48
2011-07-31,18.26,$0.45,40.58
2011-04-30,19.22,$0.36,53.39
2011-01-31,18.52,$0.24,77.15
2010-10-31,16.41,$-0.03,0.0
2010-07-31,15.88,$-1.01,0.0
2010-04-30,20.65,$-4.10,0.0
2010-01-31,16.9,$-4.38,0.0
2009-10-31,15.85,$-4.68,0.0
