Fortis PE Ratio Historical Data,Fortis PE Ratio Historical Data,Fortis PE Ratio Historical Data,Fortis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.76,,18.97
2024-06-30,38.32,$2.36,16.24
2024-03-31,38.57,$2.32,16.63
2023-12-31,39.71,$2.30,17.27
2023-09-30,36.3,$2.29,15.85
2023-06-30,40.74,$2.21,18.44
2023-03-31,39.84,$2.22,17.94
2022-12-31,37.12,$2.13,17.43
2022-09-30,34.86,$2.11,16.52
2022-06-30,42.99,$2.08,20.67
2022-03-31,44.63,$2.06,21.67
2021-12-31,43.12,$2.06,20.93
2021-09-30,39.23,$2.06,19.04
2021-06-30,38.8,$2.04,19.02
2021-03-31,37.7,$2.02,18.66
2020-12-31,35.14,$1.94,18.11
2020-09-30,34.85,$1.97,17.69
2020-06-30,32.18,$1.98,16.25
2020-03-31,32.28,$2.10,15.37
2019-12-31,34.49,$2.14,16.12
2019-09-30,34.85,$2.02,17.25
2019-06-30,32.23,$2.04,15.8
2019-03-31,29.93,$1.94,15.43
2018-12-31,26.74,$2.00,13.37
2018-09-30,25.74,$1.78,14.46
2018-06-30,25.06,$1.81,13.84
2018-03-31,26.27,$1.83,14.36
2017-12-31,28.23,$1.78,15.86
2017-09-30,27.29,$1.91,14.29
