Parsons PE Ratio Historical Data,Parsons PE Ratio Historical Data,Parsons PE Ratio Historical Data,Parsons PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,108.27,,251.79
2024-06-30,81.81,$0.43,190.26
2024-03-31,82.95,$0.18,460.83
2023-12-31,62.71,$1.42,44.16
2023-09-30,54.35,$1.28,42.46
2023-06-30,48.14,$1.13,42.6
2023-03-31,44.74,$0.92,48.63
2022-12-31,46.25,$0.88,52.56
2022-09-30,39.2,$0.89,44.04
2022-06-30,40.42,$0.80,50.53
2022-03-31,38.7,$0.69,56.09
2021-12-31,33.65,$0.59,57.03
2021-09-30,33.76,$0.54,62.52
2021-06-30,39.36,$0.76,51.79
2021-03-31,40.44,$0.93,43.48
2020-12-31,36.41,$0.97,37.54
2020-09-30,33.54,$0.90,37.27
2020-06-30,36.24,$1.07,33.87
2020-03-31,31.96,$1.28,24.97
