Moog PE Ratio Historical Data,Moog PE Ratio Historical Data,Moog PE Ratio Historical Data,Moog PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,198.38,,31.44
2024-06-30,170.0,$6.31,26.94
2024-03-31,157.0,$5.89,26.66
2023-12-31,144.8,$5.37,26.96
2023-09-30,112.27,$5.33,21.06
2023-06-30,104.61,$5.02,20.84
2023-03-31,97.89,$5.27,18.57
2022-12-31,85.88,$4.84,17.74
2022-09-30,70.34,$4.84,14.53
2022-06-30,78.37,$4.99,15.71
2022-03-31,87.51,$4.54,19.28
2021-12-31,78.03,$5.14,15.18
2021-09-30,75.05,$4.87,15.41
2021-06-30,83.71,$1.40,59.79
2021-03-31,77.38,$-0.16,0.0
2020-12-31,76.97,$-0.19,0.0
2020-09-30,61.73,$0.08,771.56
2020-06-30,57.49,$3.79,15.17
2020-03-31,49.4,$5.58,8.85
2019-12-31,82.42,$5.30,15.55
2019-09-30,82.38,$5.00,16.48
2019-06-30,88.08,$4.82,18.27
2019-03-31,81.02,$3.86,20.99
2018-09-30,78.25,$2.70,28.98
2018-06-30,72.77,$2.63,27.67
2018-03-31,75.21,$2.75,27.35
2017-12-31,82.89,$3.47,23.89
2017-09-30,77.68,$4.31,18.02
2018-12-31,72.74,$4.08,17.83
2017-06-30,67.25,$3.75,17.93
2017-03-31,62.85,$3.64,17.27
2016-12-31,61.8,$3.61,17.12
2016-09-30,55.71,$3.48,16.01
2016-06-30,50.21,$3.31,15.17
2016-03-31,42.17,$3.25,12.98
2015-12-31,56.69,$3.20,17.72
2015-09-30,50.53,$3.35,15.08
2015-06-30,66.86,$3.53,18.94
2015-03-31,70.2,$3.67,19.13
2014-12-31,69.78,$3.69,18.91
2014-09-30,64.09,$3.53,18.15
2014-06-30,67.93,$2.94,23.11
2014-03-31,61.35,$2.61,23.51
2013-12-31,63.49,$2.59,24.51
2013-09-30,54.51,$2.64,20.65
2013-06-30,47.71,$3.21,14.86
2013-03-31,42.71,$3.31,12.9
2012-12-31,38.09,$3.28,11.61
2012-09-30,35.69,$3.36,10.62
2012-06-30,38.58,$3.18,12.13
2012-03-31,40.17,$2.99,13.43
2011-09-30,30.92,$2.95,10.48
2011-06-30,40.31,$2.83,14.25
2011-03-31,42.5,$2.90,14.66
2010-12-31,37.18,$2.88,12.91
2010-09-30,33.63,$2.70,12.45
2011-12-31,41.63,$2.46,16.92
2010-06-30,30.26,$2.01,15.06
2010-03-31,33.16,$1.74,19.06
2009-12-31,27.84,$1.74,16.0
