Zurn Elkay Water Solutions Cor PE Ratio Historical Data,Zurn Elkay Water Solutions Cor PE Ratio Historical Data,Zurn Elkay Water Solutions Cor PE Ratio Historical Data,Zurn Elkay Water Solutions Cor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.28,,47.79
2024-06-30,29.32,$0.78,37.6
2024-03-31,33.3,$0.71,46.9
2023-12-31,29.19,$0.65,44.9
2023-09-30,27.73,$0.65,42.67
2023-06-30,26.55,$0.30,88.5
2023-03-31,21.03,$0.38,55.33
2022-12-31,20.76,$0.49,42.36
2022-09-30,23.97,$-0.11,0.0
2022-06-30,26.6,$0.51,52.15
2022-03-31,34.52,$0.82,42.1
2021-12-31,35.47,$0.98,36.19
2021-09-30,62.59,$1.50,41.73
2021-06-30,48.65,$1.36,35.77
2021-03-31,45.69,$1.06,43.11
2020-12-31,38.24,$0.89,42.97
2020-09-30,28.84,$1.28,22.53
2020-06-30,28.09,$1.37,20.51
2020-03-31,21.78,$1.46,14.92
2019-12-31,31.28,$1.23,25.43
2019-09-30,25.93,$1.05,24.7
2019-06-30,28.97,$0.29,99.91
2019-03-31,24.1,$-0.15,0.0
2018-12-31,22.0,$-0.15,0.0
2018-09-30,29.53,$0.31,95.26
2018-06-30,27.86,$0.84,33.17
2018-03-31,28.46,$1.10,25.87
2017-12-31,24.95,$1.12,22.27
2017-09-30,24.36,$0.69,35.31
2017-06-30,22.29,$0.64,34.83
2016-12-31,18.78,$0.44,42.69
2016-09-30,20.53,$0.66,31.1
2016-06-30,18.82,$0.64,29.41
2016-03-31,19.39,$0.66,29.37
2015-12-31,17.37,$0.66,26.32
2015-09-30,16.28,$0.44,37.0
2015-06-30,22.92,$0.58,39.52
2015-03-31,25.59,$0.49,52.22
2014-12-31,27.05,$0.49,55.2
2014-09-30,27.28,$0.75,36.37
2014-06-30,26.99,$-0.15,0.0
2014-03-31,27.79,$-0.26,0.0
2013-12-31,25.9,$-0.12,0.0
2013-09-30,19.94,$-0.40,0.0
2017-03-31,22.13,$0.23,96.21
2013-06-30,16.16,$0.42,38.47
2013-03-31,20.35,$0.26,78.29
2012-12-31,20.42,$0.26,78.55
