PE Ratio Historical Data,PE Ratio Historical Data,PE Ratio Historical Data,PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.36,,27.33
2024-08-31,79.2,$2.94,26.94
2024-05-31,72.27,$2.74,26.38
2024-02-29,67.65,$2.62,25.82
2023-11-30,64.49,$2.52,25.59
2023-08-31,82.25,$2.40,34.27
2023-05-31,86.7,$2.59,33.47
2023-02-28,75.97,$2.47,30.76
2022-11-30,84.0,$2.52,33.33
2022-08-31,84.22,$2.56,32.9
2022-05-31,92.95,$2.53,36.74
2022-02-28,94.71,$2.77,34.19
2021-11-30,86.65,$2.80,30.95
2021-08-31,85.62,$2.81,30.47
2021-05-31,88.4,$2.79,31.74
2021-02-28,83.77,$2.84,29.55
2020-11-30,90.96,$2.78,32.78
2020-08-31,100.67,$2.83,35.57
2020-05-31,86.18,$2.78,31.0
2020-02-29,70.79,$2.61,27.12
2019-11-30,82.25,$2.63,31.33
2019-08-31,79.02,$2.63,30.05
2019-05-31,75.49,$2.57,29.43
2019-02-28,65.51,$2.47,26.52
2018-11-30,71.99,$3.51,20.54
2018-08-31,59.58,$3.37,17.71
2018-05-31,48.2,$3.14,15.35
2018-02-28,51.4,$3.07,16.74
2017-11-30,48.2,$1.85,26.05
2017-08-31,44.74,$1.81,24.72
2017-05-31,48.42,$1.89,25.69
2017-02-28,45.3,$1.86,24.42
2016-11-30,42.78,$1.85,23.12
2016-08-31,46.66,$1.81,25.78
2016-05-31,44.94,$1.69,26.59
2016-02-29,42.73,$1.65,25.89
2015-11-30,39.01,$1.56,25.01
2015-08-31,35.81,$1.55,23.11
2015-05-31,35.36,$1.64,21.56
2015-02-28,33.69,$1.32,25.62
2014-11-30,32.15,$1.35,23.82
2014-08-31,30.79,$1.27,24.24
2014-05-31,31.71,$0.80,39.64
2014-02-28,28.8,$0.80,36.0
2013-11-30,30.09,$0.49,61.41
2013-08-31,29.13,0,0.0
2013-05-31,30.01,0,0.0
2013-02-28,28.88,0,0.0
2012-11-30,27.46,0,0.0
2012-08-31,26.0,0,0.0
2012-05-31,23.78,0,0.0
2012-02-29,21.25,0,0.0
2011-11-30,20.32,0,0.0
2011-08-31,19.77,0,0.0
2011-05-31,20.49,0,0.0
2011-02-28,19.44,0,0.0
2010-11-30,17.89,0,0.0
2010-08-31,16.24,0,0.0
2010-05-31,15.49,0,0.0
2010-02-28,14.85,0,0.0
2009-11-30,14.25,0,0.0
