Exponent PE Ratio Historical Data,Exponent PE Ratio Historical Data,Exponent PE Ratio Historical Data,Exponent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,113.37,,55.3
2024-06-30,94.86,$2.05,46.27
2024-03-31,82.22,$1.98,41.52
2023-12-31,87.24,$1.95,44.74
2023-09-30,84.55,$1.98,42.7
2023-06-30,91.91,$1.97,46.66
2023-03-31,97.92,$1.96,49.96
2022-12-31,97.08,$1.96,49.53
2022-09-30,85.7,$1.90,45.1
2022-06-30,89.18,$1.89,47.19
2022-03-31,105.06,$1.88,55.88
2021-12-31,113.22,$1.90,59.59
2021-09-30,109.56,$1.93,56.77
2021-06-30,86.23,$1.81,47.64
2021-03-31,93.98,$1.64,57.31
2020-12-31,86.65,$1.55,55.91
2020-09-30,69.17,$1.50,46.11
2020-06-30,77.52,$1.52,51.0
2020-03-31,68.71,$1.60,42.94
2019-12-31,65.75,$1.53,42.97
2019-09-30,66.43,$1.47,45.19
2019-06-30,55.51,$1.43,38.82
2019-03-31,54.58,$1.38,39.55
2018-12-31,47.82,$1.34,35.82
2018-09-30,50.41,$0.97,52.23
2018-06-30,45.31,$0.92,49.52
2018-03-31,36.85,$0.83,44.39
2017-12-31,33.19,$0.76,43.68
2017-09-30,34.41,$1.03,33.57
2017-06-30,27.06,$0.97,28.04
2017-03-31,27.54,$0.90,30.6
2016-12-31,27.79,$0.88,31.76
2016-09-30,23.46,$0.86,27.28
2016-06-30,26.74,$0.87,30.92
2016-03-31,23.28,$0.89,26.16
2015-12-31,22.71,$0.80,28.48
2015-09-30,20.2,$0.79,25.65
2015-06-30,20.23,$0.77,26.18
2015-03-31,20.01,$0.76,26.33
2014-12-31,18.5,$0.74,25.09
2014-09-30,15.85,$0.73,21.86
2014-06-30,16.51,$0.72,22.86
2014-03-31,16.67,$0.71,23.39
2013-12-31,17.1,$0.69,24.88
2013-09-30,15.87,$0.68,23.34
2013-06-30,13.03,$0.66,19.66
2013-03-31,11.86,$0.65,18.24
2012-12-31,12.24,$0.65,18.75
2012-09-30,12.51,$0.64,19.63
2012-06-30,11.58,$0.61,19.06
2012-03-31,10.63,$0.57,18.82
2011-12-31,10.07,$0.56,18.15
2011-09-30,9.06,$0.52,17.34
2011-06-30,9.54,$0.50,18.98
2011-03-31,9.78,$0.49,20.16
2010-12-31,8.23,$0.46,17.98
2010-09-30,7.36,$0.43,17.12
2010-06-30,7.17,$0.40,18.04
2010-03-31,6.25,$0.38,16.56
2009-12-31,6.1,$0.37,16.6
