Toyota PE Ratio Historical Data,Toyota PE Ratio Historical Data,Toyota PE Ratio Historical Data,Toyota PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,171.2,,6.93
2024-06-30,204.97,$24.69,8.3
2024-03-31,251.68,$25.39,9.91
2023-12-31,183.38,$23.47,7.81
2023-09-30,179.75,$20.44,8.79
2023-06-30,159.0,$16.20,9.82
2023-03-31,140.15,$13.29,10.55
2022-12-31,132.72,$13.56,9.79
2022-09-30,126.61,$14.81,8.55
2022-06-30,147.87,$16.60,8.91
2022-03-31,172.88,$18.33,9.43
2021-12-31,175.59,$20.17,8.71
2021-09-30,168.43,$20.81,8.09
2021-06-30,163.82,$19.87,8.24
2021-03-31,146.23,$15.06,9.71
2020-12-31,142.56,$10.33,13.8
2020-09-30,122.15,$9.45,12.93
2020-06-30,114.15,$10.17,11.22
2020-03-31,108.99,$13.43,8.12
2019-12-31,125.47,$15.87,7.91
2019-09-30,120.07,$12.19,9.85
2019-06-30,109.23,$11.91,9.17
2019-03-31,103.97,$11.67,8.91
2018-12-31,100.62,$11.78,8.54
2018-09-30,107.79,$16.24,6.64
2018-06-30,110.1,$15.41,7.14
2018-03-31,111.43,$14.98,7.44
2017-12-31,106.89,$14.30,7.47
2017-09-30,100.17,$11.65,8.6
2017-06-30,86.97,$11.40,7.63
2017-03-31,89.95,$11.07,8.13
2016-12-31,95.35,$11.15,8.55
2016-09-30,94.42,$11.50,8.21
2016-06-30,80.14,$12.15,6.6
2016-03-31,85.22,$12.20,6.98
2015-12-31,96.82,$12.18,7.95
2015-09-30,92.28,$12.06,7.65
2015-06-30,103.78,$11.90,8.72
2015-03-31,108.54,$12.14,8.94
2014-12-31,97.36,$11.60,8.39
2014-09-30,91.19,$11.72,7.78
2014-06-30,92.84,$11.52,8.06
2014-03-31,87.6,$11.49,7.62
2013-12-31,92.95,$11.80,7.88
2013-09-30,97.61,$9.21,10.6
2013-06-30,91.16,$8.43,10.81
2013-03-31,77.55,$7.19,10.79
2012-12-31,69.61,$6.00,11.6
2012-09-30,58.61,$5.99,9.78
2012-06-30,59.57,$4.63,12.87
2012-03-31,64.27,$2.30,27.94
2011-12-31,48.55,$1.53,31.73
2011-09-30,50.12,$1.58,31.72
2011-06-30,60.1,$1.68,35.78
2011-03-31,58.52,$3.01,19.44
2010-12-31,56.87,$3.61,15.75
2010-09-30,51.77,$1.73,29.92
2010-06-30,49.27,$1.12,43.99
2010-03-31,57.79,$-0.74,0.0
2009-12-31,59.68,$-2.23,0.0
