Enstar Group PE Ratio Historical Data,Enstar Group PE Ratio Historical Data,Enstar Group PE Ratio Historical Data,Enstar Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,323.39,,5.51
2024-06-30,305.7,$58.65,5.21
2024-03-31,310.76,$51.50,6.03
2023-12-31,294.35,$68.27,4.31
2023-09-30,242.0,$41.82,5.79
2023-06-30,244.24,$13.29,18.38
2023-03-31,231.79,$-16.67,0.0
2022-12-31,231.04,$-57.50,0.0
2022-09-30,169.59,$-66.58,0.0
2022-06-30,213.98,$-51.16,0.0
2022-03-31,261.15,$-5.26,0.0
2021-12-31,247.59,$19.16,12.92
2021-09-30,234.73,$14.98,15.67
2021-06-30,238.92,$53.90,4.43
2021-03-31,246.73,$73.27,3.37
2020-12-31,204.89,$40.91,5.01
2020-09-30,161.5,$49.80,3.24
2020-06-30,152.77,$26.98,5.66
2020-03-31,159.05,$1.03,154.42
2019-12-31,206.86,$41.58,4.97
2019-09-30,189.92,$32.69,5.81
2019-06-30,174.28,$26.53,6.57
2019-03-31,174.0,$16.23,10.72
2018-12-31,167.57,$-2.46,0.0
2018-09-30,208.5,$4.05,51.48
2018-06-30,207.3,$6.78,30.58
2018-03-31,210.25,$11.00,19.11
2017-12-31,200.75,$15.92,12.61
2017-09-30,222.35,$10.57,21.04
2017-06-30,198.65,$10.67,18.62
2017-03-31,191.3,$8.40,22.77
2016-12-31,197.7,$11.35,17.42
2016-06-30,161.99,$12.72,12.74
2016-03-31,162.58,$11.38,14.29
2015-12-31,150.04,$11.35,13.22
2015-09-30,150.0,$11.22,13.37
2015-06-30,154.95,$10.06,15.4
2015-03-31,141.86,$11.99,11.83
2014-12-31,152.89,$11.44,13.36
2014-09-30,136.32,$14.05,9.7
2014-06-30,150.73,$15.07,10.0
2014-03-31,136.31,$13.54,10.07
2013-12-31,138.91,$12.49,11.12
2013-09-30,136.6,$8.48,16.11
2013-06-30,132.98,$8.95,14.86
2013-03-31,124.29,$10.24,12.14
2012-12-31,111.98,$10.10,11.09
2012-09-30,99.65,$13.90,7.17
2012-06-30,98.94,$19.75,5.01
2012-03-31,98.99,$17.97,5.51
2016-09-30,164.47,$18.05,9.11
2011-12-31,98.2,$10.30,9.53
2011-09-30,95.23,$10.68,8.92
2011-06-30,104.49,$11.55,9.05
2011-03-31,99.88,$11.78,8.48
2010-12-31,84.58,$12.66,6.68
2010-09-30,72.6,$9.36,7.76
2010-06-30,66.44,$10.36,6.41
2010-03-31,69.16,$10.10,6.85
2009-12-31,73.02,$9.79,7.46
