F.N.B PE Ratio Historical Data,F.N.B PE Ratio Historical Data,F.N.B PE Ratio Historical Data,F.N.B PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.84,,12.47
2024-06-30,13.57,$1.19,11.4
2024-03-31,13.98,$1.24,11.28
2023-12-31,13.54,$1.32,10.26
2023-09-30,10.51,$1.57,6.69
2023-06-30,11.03,$1.55,7.12
2023-03-31,11.06,$1.46,7.58
2022-12-31,12.34,$1.21,10.2
2022-09-30,10.88,$1.13,9.62
2022-06-30,10.08,$1.09,9.25
2022-03-31,11.44,$1.10,10.4
2021-12-31,11.05,$1.23,8.98
2021-09-30,10.48,$1.15,9.11
2021-06-30,11.0,$1.06,10.38
2021-03-31,11.23,$1.00,11.23
2020-12-31,8.32,$0.86,9.67
2020-09-30,5.86,$0.93,6.3
2020-06-30,6.38,$0.99,6.44
2020-03-31,6.17,$1.03,5.99
2019-12-31,10.51,$1.17,8.98
2019-09-30,9.45,$1.18,8.01
2019-06-30,9.53,$1.17,8.15
2019-03-31,8.49,$1.14,7.45
2018-12-31,7.81,$1.12,6.97
2018-09-30,10.0,$0.89,11.23
2018-06-30,10.45,$0.82,12.75
2018-03-31,10.38,$0.78,13.31
2017-12-31,10.58,$0.61,17.34
2017-09-30,10.65,$0.77,13.83
2017-06-30,10.65,$0.78,13.65
2017-03-31,11.08,$0.75,14.77
2016-12-31,11.85,$0.78,15.2
2016-09-30,9.02,$0.76,11.87
2016-06-30,9.11,$0.74,12.31
2016-03-31,9.37,$0.77,12.17
2015-12-31,9.51,$0.87,10.94
2015-09-30,9.16,$0.87,10.53
2015-06-30,10.03,$0.85,11.8
2015-03-31,9.13,$0.83,10.99
2014-12-31,9.17,$0.81,11.32
2014-09-30,8.17,$0.78,10.48
2014-06-30,8.65,$0.80,10.82
2014-03-31,8.96,$0.80,11.2
2013-12-31,8.35,$0.80,10.44
2013-09-30,7.95,$0.83,9.58
2013-06-30,7.84,$0.83,9.45
2013-03-31,7.78,$0.84,9.26
2012-12-31,6.75,$0.79,8.55
2012-09-30,7.05,$0.77,9.16
2012-06-30,6.76,$0.74,9.14
2012-03-31,7.43,$0.71,10.47
2011-12-31,6.89,$0.70,9.84
2011-09-30,5.16,$0.72,7.17
2011-06-30,6.15,$0.68,9.04
2011-03-31,6.19,$0.66,9.38
2010-12-31,5.7,$0.66,8.63
2010-09-30,4.9,$0.49,10.0
2010-06-30,4.53,$0.38,11.91
2010-03-31,4.51,$0.32,14.08
2009-12-31,3.71,$0.34,10.92
