ACI Worldwide PE Ratio Historical Data,ACI Worldwide PE Ratio Historical Data,ACI Worldwide PE Ratio Historical Data,ACI Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.94,,30.73
2024-06-30,39.59,$1.69,23.43
2024-03-31,33.21,$1.34,24.78
2023-12-31,30.6,$1.11,27.57
2023-09-30,22.56,$0.80,28.2
2023-06-30,23.17,$0.65,35.65
2023-03-31,26.98,$0.83,32.51
2022-12-31,23.0,$1.26,18.25
2022-09-30,20.9,$1.38,15.14
2022-06-30,25.89,$1.30,19.92
2022-03-31,31.49,$1.23,25.6
2021-12-31,34.7,$1.08,32.13
2021-09-30,30.73,$0.71,43.28
2021-06-30,37.14,$0.72,51.58
2021-03-31,38.05,$0.79,48.16
2020-12-31,38.43,$0.60,64.05
2020-09-30,26.13,$0.51,51.24
2020-06-30,26.99,$0.65,41.52
2020-03-31,24.15,$0.58,41.64
2019-12-31,37.89,$0.57,66.46
2019-09-30,31.33,$0.84,37.29
2019-06-30,34.34,$0.70,49.06
2019-03-31,32.87,$0.52,63.21
2018-12-31,27.67,$0.57,48.54
2018-09-30,28.14,$0.11,255.82
2018-06-30,24.67,$0.01,2467.0
2018-03-31,23.72,$-0.11,0.0
2017-12-31,22.67,$0.05,453.4
2017-09-30,22.78,$0.33,69.03
2017-06-30,22.37,$0.22,101.68
2017-03-31,21.39,$0.32,66.84
2016-12-31,18.15,$1.08,16.81
2016-09-30,19.38,$0.88,22.02
2016-06-30,19.51,$1.08,18.06
2016-03-31,20.79,$1.46,14.24
2015-12-31,21.4,$0.71,30.14
2015-09-30,21.12,$0.75,28.16
2015-06-30,24.57,$0.77,31.91
2015-03-31,21.66,$0.64,33.84
2014-12-31,20.17,$0.59,34.19
2014-09-30,18.76,$0.62,30.42
2014-06-30,18.61,$0.59,31.36
2014-03-31,19.73,$0.51,38.68
2013-12-31,21.67,$0.54,39.87
2013-09-30,18.02,$0.53,34.0
2013-06-30,15.49,$0.46,33.68
2013-03-31,16.29,$0.40,40.38
2012-12-31,14.56,$0.40,36.11
2012-09-30,14.09,$0.22,63.08
2012-06-30,14.74,$0.28,52.65
2012-03-31,13.42,$0.42,32.22
2011-12-31,9.55,$0.45,21.21
2011-09-30,9.18,$0.48,18.99
2011-06-30,11.26,$0.40,27.9
2011-03-31,10.93,$0.31,35.65
2010-12-31,8.96,$0.27,33.17
2010-09-30,7.46,$0.19,38.61
2010-06-30,6.49,$0.25,26.31
2010-03-31,6.87,$0.21,32.19
2009-12-31,5.72,$0.19,29.56
