Old Republic PE Ratio Historical Data,Old Republic PE Ratio Historical Data,Old Republic PE Ratio Historical Data,Old Republic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.42,,15.3
2024-06-30,30.67,$2.38,12.89
2024-03-31,30.49,$2.57,11.86
2023-12-31,28.91,$2.10,13.77
2023-09-30,26.28,$3.14,8.37
2023-06-30,24.33,$2.64,9.22
2023-03-31,23.9,$1.97,12.13
2022-12-31,22.9,$2.29,10.0
2022-09-30,19.66,$2.62,7.5
2022-06-30,19.88,$3.22,6.18
2022-03-31,22.78,$4.40,5.18
2021-12-31,21.46,$5.08,4.22
2021-09-30,20.01,$4.76,4.2
2021-06-30,20.07,$5.30,3.79
2021-03-31,17.45,$5.59,3.12
2020-12-31,14.78,$1.90,7.78
2020-09-30,10.93,$1.07,10.22
2020-06-30,11.94,$0.91,13.12
2020-03-31,11.02,$0.12,91.87
2019-12-31,16.01,$3.50,4.57
2019-09-30,16.72,$2.23,7.5
2019-06-30,15.07,$2.48,6.08
2019-03-31,13.96,$2.59,5.39
2018-12-31,13.59,$1.23,11.05
2018-09-30,14.67,$2.60,5.64
2018-06-30,12.93,$1.85,6.99
2018-03-31,13.8,$1.54,8.96
2017-12-31,12.97,$1.92,6.76
2017-09-30,11.84,$1.37,8.64
2017-06-30,11.63,$1.59,7.31
2017-03-31,12.08,$1.59,7.6
2016-12-31,11.1,$1.63,6.81
2016-09-30,10.19,$1.49,6.84
2016-06-30,11.05,$1.54,7.17
2016-03-31,10.37,$1.55,6.69
2015-12-31,10.46,$1.48,7.06
2015-09-30,8.69,$1.39,6.25
2015-06-30,8.58,$1.25,6.87
2015-03-31,8.11,$1.13,7.17
2014-12-31,7.84,$1.44,5.44
2014-09-30,7.56,$1.54,4.91
2014-06-30,8.65,$1.60,5.41
2014-03-31,8.49,$2.03,4.18
2013-12-31,8.83,$1.57,5.63
2013-09-30,7.79,$1.16,6.72
2013-06-30,6.43,$0.74,8.69
2013-03-31,6.27,$-0.06,0.0
2012-12-31,5.17,$-0.27,0.0
2012-09-30,4.44,$0.03,148.09
2012-06-30,3.88,$-0.37,0.0
2012-03-31,4.85,$-0.50,0.0
2011-12-31,4.13,$-0.55,0.0
2011-09-30,3.89,$-0.82,0.0
2011-06-30,5.03,$-0.52,0.0
2011-03-31,5.35,$-0.03,0.0
2010-12-31,5.67,$0.13,43.58
2010-09-30,5.68,$0.03,189.37
2010-06-30,4.91,$-0.01,0.0
2010-03-31,5.07,$-0.31,0.0
2009-12-31,3.95,$-0.65,0.0
