Madison Square Garden PE Ratio Historical Data,Madison Square Garden PE Ratio Historical Data,Madison Square Garden PE Ratio Historical Data,Madison Square Garden PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,220.53,,77.93
2024-06-30,188.13,$2.83,66.48
2024-03-31,184.52,$3.95,46.71
2023-12-31,181.83,$3.22,56.47
2023-06-30,188.05,$1.90,98.97
2023-03-31,194.85,$3.40,57.31
2022-12-31,183.33,$0.43,426.35
2022-09-30,130.49,$0.59,221.17
2022-06-30,144.19,$1.97,73.19
2023-09-30,176.3,$0.18,979.44
2022-03-31,171.27,$3.00,57.09
2021-12-31,165.89,$2.22,74.73
2021-09-30,177.56,$-0.11,0.0
2021-06-30,164.78,$-0.61,0.0
2021-03-31,171.36,$-5.91,0.0
2020-12-31,175.79,$-11.05,0.0
2020-09-30,143.69,$-5.44,0.0
2020-06-30,140.26,$-7.62,0.0
2020-03-31,201.87,$-7.43,0.0
2019-12-31,280.91,$-1.03,0.0
2019-09-30,251.63,$-1.54,0.0
2019-06-30,267.31,$0.46,581.1
2019-03-31,279.9,$1.60,174.94
2018-12-31,255.62,$0.50,511.24
2018-09-30,301.09,$5.04,59.74
2018-06-30,296.19,$5.93,49.95
2018-03-31,234.71,$4.29,54.71
2017-12-31,201.33,$3.17,63.51
2017-09-30,204.44,$-2.40,0.0
2017-06-30,188.01,$-3.12,0.0
2017-03-31,190.7,$-1.93,0.0
2016-12-31,163.77,$-3.66,0.0
2016-09-30,161.76,$-4.31,0.0
