Logitech S.A PE Ratio Historical Data,Logitech S.A PE Ratio Historical Data,Logitech S.A PE Ratio Historical Data,Logitech S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.6,,19.91
2024-06-30,95.58,$4.40,21.72
2024-03-31,88.17,$3.87,22.78
2023-12-31,93.78,$3.06,30.65
2023-09-30,68.02,$2.37,28.7
2023-06-30,57.63,$2.01,28.67
2023-03-31,56.33,$2.23,25.26
2022-12-31,60.4,$2.61,23.14
2022-09-30,44.63,$2.99,14.93
2022-06-30,49.43,$3.30,14.98
2022-03-31,70.06,$3.78,18.53
2021-12-31,78.32,$4.45,17.6
2021-09-30,83.7,$5.43,15.41
2021-06-30,113.77,$6.18,18.41
2021-03-31,98.32,$5.51,17.84
2020-12-31,91.45,$5.46,16.75
2020-09-30,72.74,$3.93,18.51
2020-06-30,60.68,$2.80,21.67
2020-03-31,39.94,$2.65,15.07
2019-12-31,43.88,$1.64,26.76
2019-09-30,37.91,$1.62,23.4
2019-06-30,36.35,$1.57,23.15
2019-03-31,35.97,$1.53,23.51
2018-12-31,28.6,$1.48,19.32
2018-09-30,40.89,$1.29,31.7
2018-06-30,39.56,$1.25,31.65
2018-03-31,33.1,$1.24,26.69
2017-12-31,30.32,$1.19,25.48
2017-09-30,32.86,$1.30,25.27
2017-06-30,32.47,$1.24,26.19
2017-03-31,28.23,$1.15,24.55
2016-12-31,21.94,$1.17,18.75
2016-09-30,19.89,$0.97,20.51
2016-06-30,14.05,$0.80,17.56
2016-03-31,13.73,$0.71,19.34
2015-12-31,13.0,$0.64,20.32
2015-09-30,11.31,$0.63,17.96
2015-06-30,12.18,$0.74,16.46
2015-03-31,10.93,$0.83,13.17
2014-12-31,11.16,$0.80,13.95
2014-09-30,10.46,$0.72,14.52
2014-06-30,10.63,$0.59,18.01
2014-03-31,12.14,$0.47,25.84
2013-12-31,11.16,$0.17,65.68
2013-09-30,7.22,$-1.37,0.0
2013-06-30,5.6,$-1.11,0.0
2013-03-31,5.53,$-1.44,0.0
2012-12-31,5.99,$-1.04,0.0
2012-09-30,7.24,$0.52,13.92
2012-06-30,7.77,$0.27,28.77
2012-03-31,5.68,$0.42,13.52
2011-12-31,5.66,$0.26,21.78
2011-09-30,5.69,$0.30,18.95
2011-06-30,8.18,$0.43,19.03
2011-03-31,13.2,$0.71,18.59
2010-12-31,13.5,$0.84,16.08
2010-09-30,12.69,$0.80,15.86
2010-06-30,9.76,$0.68,14.36
2010-03-31,11.9,$0.37,32.15
2009-12-31,12.46,$0.03,415.21
