Graphic Packaging Holding PE Ratio Historical Data,Graphic Packaging Holding PE Ratio Historical Data,Graphic Packaging Holding PE Ratio Historical Data,Graphic Packaging Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.78,,12.73
2024-06-30,26.12,$2.34,11.16
2024-03-31,28.98,$2.21,13.11
2023-12-31,24.39,$2.35,10.38
2023-09-30,21.96,$2.21,9.93
2023-06-30,23.58,$2.28,10.34
2023-03-31,24.92,$2.00,12.46
2022-12-31,21.66,$1.68,12.89
2022-09-30,19.13,$1.31,14.6
2022-06-30,19.8,$0.93,21.29
2022-03-31,19.29,$0.85,22.69
2021-12-31,18.69,$0.69,27.09
2021-09-30,18.18,$0.80,22.73
2021-06-30,17.26,$0.79,21.84
2021-03-31,17.2,$0.85,20.24
2020-12-31,15.98,$0.62,25.77
2020-09-30,13.23,$0.49,27.0
2020-06-30,13.07,$0.44,29.7
2020-03-31,11.33,$0.47,24.11
2019-12-31,15.37,$0.70,21.96
2019-09-30,13.56,$0.74,18.32
2019-06-30,12.78,$0.86,14.86
2019-03-31,11.49,$0.80,14.36
2018-12-31,9.62,$0.71,13.55
2018-09-30,12.58,$1.12,11.23
2018-06-30,12.96,$0.97,13.36
2018-03-31,13.64,$0.95,14.36
2017-12-31,13.66,$0.97,14.08
2017-09-30,12.27,$0.52,23.61
2017-06-30,12.06,$0.55,21.92
2017-03-31,11.2,$0.65,17.22
2016-12-31,10.79,$0.71,15.2
2016-09-30,12.03,$0.77,15.62
2016-06-30,10.74,$0.77,13.95
2016-03-31,10.97,$0.70,15.67
2015-12-31,10.91,$0.69,15.81
2015-09-30,10.83,$0.65,16.66
2015-06-30,11.75,$0.63,18.66
2015-03-31,12.23,$0.34,35.96
2014-12-31,11.41,$0.30,38.04
2014-09-30,10.41,$0.30,34.72
2014-06-30,9.8,$0.20,49.02
2013-12-31,8.04,$0.42,19.15
2013-09-30,7.17,$0.35,20.49
2013-06-30,6.49,$0.33,19.65
2013-03-31,6.28,$0.37,16.96
2012-12-31,5.41,$0.38,14.24
2014-03-31,8.51,$0.36,23.65
2012-09-30,4.87,$0.92,5.29
2012-06-30,4.61,$0.70,6.58
2012-03-31,4.63,$0.67,6.9
2011-12-31,3.57,$0.69,5.17
2011-09-30,2.89,$0.07,41.3
2011-03-31,4.54,$0.09,50.46
2010-12-31,3.26,$0.03,108.64
2010-09-30,2.8,$0.06,46.64
2010-06-30,2.64,$0.09,29.33
2010-03-31,3.02,$0.29,10.43
2009-12-31,2.91,$0.33,8.81
2011-06-30,4.56,$0.16,28.49
