Matson PE Ratio Historical Data,Matson PE Ratio Historical Data,Matson PE Ratio Historical Data,Matson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,136.52,,14.33
2024-06-30,130.62,$9.53,13.71
2024-03-31,111.78,$8.48,13.18
2023-12-31,108.7,$8.38,12.97
2023-09-30,87.68,$8.70,10.08
2023-06-30,76.56,$12.19,6.28
2023-03-31,58.5,$19.42,3.01
2022-12-31,61.0,$26.71,2.28
2022-09-30,59.76,$34.00,1.76
2022-06-30,70.52,$33.64,2.1
2022-03-31,116.32,$27.86,4.18
2021-12-31,86.53,$21.62,4.0
2021-09-30,77.32,$14.19,5.45
2021-06-30,61.05,$9.29,6.57
2021-03-31,63.41,$6.34,10.0
2020-12-31,53.97,$4.44,12.16
2020-09-30,37.83,$2.84,13.32
2020-06-30,27.29,$2.05,13.31
2020-03-31,28.49,$1.72,16.56
2019-12-31,37.73,$1.92,19.65
2019-09-30,34.5,$2.04,16.91
2019-06-30,35.54,$2.17,16.38
2019-03-31,33.02,$2.50,13.21
2018-12-31,29.11,$2.54,11.46
2018-09-30,35.85,$5.96,6.01
2018-06-30,34.51,$5.78,5.97
2018-03-31,25.59,$5.57,4.6
2017-12-31,26.52,$5.40,4.91
2017-09-30,24.87,$1.94,12.82
2017-06-30,26.33,$1.73,15.22
2017-03-31,27.67,$1.59,17.4
2016-12-31,30.67,$1.84,16.67
2016-09-30,34.37,$2.00,17.19
2016-06-30,27.69,$2.36,11.73
2016-03-31,34.26,$2.18,15.71
2015-12-31,36.19,$2.34,15.47
2015-09-30,32.55,$2.37,13.73
2015-06-30,35.39,$1.93,18.34
2015-03-31,35.35,$2.12,16.68
2014-12-31,28.81,$1.63,17.68
2014-09-30,20.76,$1.17,17.75
2014-06-30,22.12,$1.07,20.68
2014-03-31,20.22,$1.12,18.05
2013-12-31,21.24,$1.25,16.99
2013-09-30,21.22,$1.44,14.73
2013-06-30,20.11,$-0.12,0.0
2013-03-31,19.67,$-0.41,0.0
2012-12-31,19.65,$-0.58,0.0
2012-09-30,16.51,$-0.73,0.0
2012-06-30,20.04,$0.87,23.03
2011-12-31,15.27,$0.81,18.85
2011-09-30,13.62,$1.25,10.89
2011-06-30,17.89,$1.13,15.83
2011-03-31,16.91,$1.31,12.91
2010-12-31,14.77,$1.89,7.82
2012-03-31,18.18,$1.83,9.93
2010-09-30,12.8,$2.23,5.74
2010-06-30,10.89,$1.82,5.99
2010-03-31,12.04,$1.43,8.42
2009-12-31,12.41,$1.08,11.49
