Exelixis PE Ratio Historical Data,Exelixis PE Ratio Historical Data,Exelixis PE Ratio Historical Data,Exelixis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.06,,25.05
2024-06-30,22.47,$1.16,19.37
2024-03-31,23.73,$0.64,37.08
2023-12-31,23.99,$0.64,37.48
2023-09-30,21.85,$0.28,78.04
2023-06-30,19.11,$0.51,37.47
2023-03-31,19.41,$0.48,40.44
2022-12-31,16.04,$0.57,28.14
2022-09-30,15.68,$0.95,16.51
2022-06-30,20.82,$0.84,24.79
2022-03-31,22.67,$0.92,24.64
2021-12-31,18.28,$0.71,25.75
2021-09-30,21.14,$0.51,41.45
2021-06-30,18.22,$0.29,62.83
2021-03-31,22.59,$0.20,112.95
2020-12-31,20.07,$0.35,57.34
2020-09-30,24.45,$0.48,50.94
2020-06-30,23.74,$0.89,26.67
2020-03-31,17.22,$0.93,18.52
2019-12-31,17.62,$1.02,17.27
2019-09-30,17.69,$1.95,9.07
2019-06-30,21.37,$2.05,10.42
2019-03-31,23.8,$2.08,11.44
2018-12-31,19.67,$2.21,8.9
2018-09-30,17.72,$1.18,15.02
2018-06-30,21.52,$1.03,20.89
2018-03-31,22.15,$0.81,27.35
2017-12-31,30.4,$0.49,62.04
2017-09-30,24.23,$0.49,49.45
2017-06-30,24.63,$0.19,129.63
2017-03-31,21.67,$-0.03,0.0
2016-12-31,14.91,$-0.35,0.0
2016-09-30,12.79,$-0.66,0.0
2016-06-30,7.81,$-0.84,0.0
2016-03-31,4.0,$-0.90,0.0
2015-12-31,5.64,$-0.81,0.0
2015-09-30,5.61,$-0.92,0.0
2015-06-30,3.76,$-1.02,0.0
2015-03-31,2.57,$-1.18,0.0
2014-12-31,1.44,$-1.39,0.0
2014-09-30,1.53,$-1.47,0.0
2014-06-30,3.39,$-1.51,0.0
2014-03-31,3.54,$-1.47,0.0
2013-12-31,6.13,$-1.32,0.0
2013-09-30,5.82,$-1.22,0.0
2013-06-30,4.54,$-1.06,0.0
2013-03-31,4.62,$-0.97,0.0
2012-12-31,4.57,$-0.91,0.0
2012-09-30,4.83,$-0.28,0.0
2012-06-30,5.53,$0.51,10.84
2012-03-31,5.18,$0.60,8.63
2011-12-31,4.74,$0.54,8.77
2011-09-30,5.46,$0.03,182.0
2011-06-30,8.96,$-0.64,0.0
2011-03-31,11.33,$-0.69,0.0
2010-12-31,8.21,$-0.85,0.0
2010-09-30,3.92,$-0.96,0.0
2010-06-30,3.47,$-1.12,0.0
2010-03-31,6.07,$-1.33,0.0
2009-12-31,7.37,$-1.27,0.0
