Columbia Banking System PE Ratio Historical Data,Columbia Banking System PE Ratio Historical Data,Columbia Banking System PE Ratio Historical Data,Columbia Banking System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.76,,12.28
2024-06-30,19.61,$2.26,8.68
2024-03-31,18.72,$2.33,8.03
2023-12-31,25.3,$1.65,15.34
2023-09-30,18.94,$2.08,9.11
2023-06-30,18.58,$2.26,8.22
2023-03-31,19.29,$2.37,8.14
2022-12-31,26.89,$3.20,8.4
2022-09-30,25.53,$2.87,8.89
2022-06-30,25.06,$2.78,9.01
2022-03-31,27.94,$2.80,9.98
2021-12-31,28.09,$2.79,10.07
2021-09-30,32.33,$3.06,10.56
2021-06-30,32.57,$2.95,11.04
2021-03-31,36.16,$2.70,13.39
2020-12-31,29.93,$2.17,13.79
2020-09-30,19.72,$1.99,9.91
2020-06-30,23.2,$2.06,11.26
2020-03-31,21.64,$2.25,9.62
2019-12-31,32.45,$2.68,12.11
2019-09-30,29.22,$2.65,11.03
2019-06-30,28.42,$2.58,11.02
2019-03-31,25.4,$2.44,10.41
2018-12-31,27.87,$2.36,11.81
2018-09-30,29.46,$1.98,14.88
2018-06-30,30.89,$2.05,15.07
2018-03-31,31.48,$1.95,16.15
2017-12-31,32.43,$1.90,17.07
2017-09-30,31.28,$2.20,14.22
2017-06-30,29.43,$1.97,14.94
2017-03-31,28.64,$1.94,14.76
2016-12-31,32.64,$1.81,18.03
2016-09-30,23.63,$1.74,13.58
2016-06-30,20.01,$1.72,11.64
2016-03-31,21.06,$1.66,12.69
2015-12-31,22.58,$1.71,13.2
2015-09-30,21.46,$1.59,13.49
2015-06-30,22.14,$1.55,14.28
2015-03-31,19.48,$1.57,12.41
2014-12-31,18.37,$1.52,12.08
2014-09-30,16.32,$1.56,10.46
2014-06-30,17.12,$1.40,12.23
2014-03-31,18.38,$1.27,14.47
2013-12-31,17.63,$1.21,14.57
2013-09-30,15.77,$1.17,13.48
2013-06-30,15.15,$1.22,12.42
2013-03-31,13.92,$1.25,11.13
2012-12-31,11.3,$1.17,9.66
2012-09-30,11.62,$1.20,9.68
2012-06-30,11.58,$1.38,8.39
2012-03-31,13.89,$1.30,10.68
2011-12-31,11.55,$1.22,9.47
2011-09-30,8.52,$1.17,7.28
2011-06-30,10.21,$0.75,13.61
2011-03-31,11.33,$0.64,17.71
2010-12-31,12.43,$0.73,17.03
2010-09-30,11.59,$0.43,26.96
2010-06-30,10.77,$0.26,41.4
2010-03-31,11.97,$-0.22,0.0
2009-12-31,9.53,$-0.44,0.0
