Amkor Technology PE Ratio Historical Data,Amkor Technology PE Ratio Historical Data,Amkor Technology PE Ratio Historical Data,Amkor Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.95,,20.23
2024-06-30,39.91,$1.53,26.09
2024-03-31,32.07,$1.52,21.1
2023-12-31,33.02,$1.46,22.62
2023-09-30,22.37,$1.65,13.56
2023-06-30,29.37,$2.35,12.5
2023-03-31,25.61,$2.60,9.85
2022-12-31,23.53,$3.11,7.57
2022-09-30,16.69,$3.32,5.03
2022-06-30,16.55,$2.82,5.87
2022-03-31,21.15,$2.82,7.5
2021-12-31,24.09,$2.65,9.09
2021-09-30,24.19,$2.15,11.25
2021-06-30,22.92,$1.64,13.97
2020-12-31,14.55,$1.39,10.47
2020-09-30,10.78,$1.28,8.42
2020-06-30,11.85,$1.39,8.52
2020-03-31,7.5,$1.39,5.39
2019-12-31,12.51,$1.09,11.48
2021-03-31,22.91,$0.58,39.5
2019-09-30,8.76,$0.21,41.7
2019-06-30,7.18,$0.22,32.63
2019-03-31,8.22,$0.40,20.54
2018-12-31,6.31,$0.54,11.69
2018-09-30,7.11,$0.84,8.47
2018-06-30,8.27,$0.83,9.96
2018-03-31,9.75,$1.17,8.33
2017-12-31,9.67,$1.09,8.87
2017-09-30,10.15,$1.09,9.31
2017-06-30,9.4,$1.11,8.47
2017-03-31,11.15,$0.65,17.16
2016-12-31,10.15,$0.69,14.71
2016-09-30,9.35,$0.23,40.67
2016-06-30,5.53,$0.10,55.33
2016-03-31,5.67,$0.12,47.23
2015-12-31,5.85,$0.24,24.38
2015-09-30,4.31,$0.34,12.68
2015-06-30,5.75,$0.42,13.7
2015-03-31,8.5,$0.59,14.41
2014-12-31,6.83,$0.65,10.51
2014-09-30,8.09,$0.70,11.56
2014-06-30,10.76,$0.64,16.81
2013-12-31,5.9,$0.50,11.8
2013-09-30,4.12,$0.45,9.15
2013-06-30,4.05,$0.43,9.42
2013-03-31,3.85,$0.40,9.62
2012-12-31,4.08,$0.33,12.37
2014-03-31,6.6,$0.26,25.39
2012-09-30,4.25,$0.28,15.17
2012-06-30,4.7,$0.28,16.77
2012-03-31,5.91,$0.35,16.89
2011-12-31,4.2,$0.39,10.76
2011-09-30,4.2,$0.48,8.74
2011-06-30,5.94,$0.67,8.86
2011-03-31,6.49,$0.83,7.81
2010-12-31,7.13,$0.91,7.84
2010-09-30,6.32,$1.04,6.08
2010-06-30,5.3,$1.05,5.05
2010-03-31,6.81,$0.87,7.83
2009-12-31,6.89,$0.57,12.09
