Boyd Gaming PE Ratio Historical Data,Boyd Gaming PE Ratio Historical Data,Boyd Gaming PE Ratio Historical Data,Boyd Gaming PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.08,,11.72
2024-06-30,54.95,$5.64,9.74
2023-12-31,62.07,$6.10,10.18
2023-09-30,60.15,$6.79,8.86
2023-06-30,68.42,$6.85,9.99
2023-03-31,63.1,$6.42,9.83
2022-12-31,53.52,$5.82,9.2
2024-03-31,66.92,$5.64,11.87
2022-09-30,46.65,$5.20,8.97
2022-06-30,48.55,$4.95,9.81
2022-03-31,64.0,$4.35,14.71
2021-12-31,63.51,$3.23,19.66
2021-09-30,61.27,$1.31,46.77
2020-12-31,41.57,$-0.06,0.0
2020-09-30,29.73,$-0.58,0.0
2020-06-30,20.24,$0.09,224.93
2020-03-31,13.97,$1.40,9.98
2019-12-31,29.0,$1.99,14.57
2021-06-30,59.56,$2.18,27.32
2019-09-30,23.14,$1.38,16.77
2019-06-30,25.96,$1.13,22.97
2019-03-31,26.29,$1.04,25.28
2018-12-31,19.93,$1.00,19.93
2018-09-30,32.37,$1.51,21.44
2018-06-30,33.08,$1.61,20.55
2018-03-31,30.36,$1.69,17.96
2017-12-31,33.35,$2.23,14.95
2017-09-30,24.75,$1.83,13.52
2017-06-30,23.53,$1.74,13.52
2021-03-31,57.11,$4.29,13.31
2017-03-31,20.83,$3.65,5.71
2016-12-31,19.09,$3.63,5.26
2016-09-30,18.72,$3.46,5.41
2016-06-30,17.41,$0.71,24.53
2016-03-31,19.55,$0.39,50.13
2015-12-31,18.8,$0.41,45.87
2015-09-30,15.43,$0.18,85.7
2015-06-30,14.15,$-0.18,0.0
2015-03-31,13.44,$-0.11,0.0
2014-12-31,12.09,$-0.48,0.0
2014-09-30,9.62,$-0.62,0.0
2014-06-30,11.48,$-0.85,0.0
2014-03-31,12.49,$-0.73,0.0
2013-12-31,10.66,$-0.75,0.0
2013-09-30,13.39,$-10.56,0.0
2013-06-30,10.69,$-10.37,0.0
2013-03-31,7.83,$-10.49,0.0
2012-12-31,6.28,$-10.34,0.0
2012-09-30,6.68,$-0.11,0.0
2012-06-30,6.81,$0.11,61.95
2012-03-31,7.42,$0.07,106.0
2011-12-31,7.06,$-0.04,0.0
2011-09-30,4.64,$-0.11,0.0
2011-06-30,8.23,$-0.09,0.0
2011-03-31,8.87,$-0.02,0.0
2010-12-31,10.03,$0.12,83.6
2010-09-30,6.86,$0.19,36.11
2010-06-30,8.03,$0.20,40.17
2010-03-31,9.35,$0.31,30.16
2009-12-31,7.92,$0.05,158.43
