"EnLink Midstream, LLC PE Ratio Historical Data","EnLink Midstream, LLC PE Ratio Historical Data","EnLink Midstream, LLC PE Ratio Historical Data","EnLink Midstream, LLC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.6,,48.67
2024-06-30,13.62,$0.30,45.4
2024-03-31,13.37,$0.35,38.21
2023-12-31,11.79,$0.44,26.81
2023-09-30,11.73,$0.63,18.63
2023-06-30,10.07,$0.74,13.6
2023-03-31,10.16,$0.79,12.87
2022-12-31,11.42,$0.74,15.44
2022-09-30,8.18,$0.52,15.72
2022-06-30,7.73,$0.35,22.08
2022-03-31,8.68,$0.14,62.0
2021-12-31,6.11,$0.04,152.73
2021-09-30,5.98,$-0.38,0.0
2021-06-30,5.51,$-0.35,0.0
2021-03-31,3.63,$-0.30,0.0
2020-12-31,3.06,$-0.86,0.0
2020-09-30,1.88,$-2.47,0.0
2020-06-30,1.88,$-2.48,0.0
2020-03-31,0.81,$-2.52,0.0
2019-12-31,4.36,$-2.38,0.0
2019-09-30,5.8,$-0.80,0.0
2019-06-30,6.68,$-0.78,0.0
2019-03-31,8.27,$-0.60,0.0
2018-12-31,5.99,$0.96,6.24
2018-09-30,10.38,$1.33,7.81
2018-06-30,10.21,$1.32,7.74
2017-12-31,10.59,$1.16,9.13
2017-09-30,10.21,$0.03,340.27
2017-06-30,10.27,$0.07,146.66
2017-03-31,11.16,$0.04,279.05
2016-12-31,10.8,$0.06,180.05
2018-03-31,8.94,$-2.48,0.0
2016-09-30,9.35,$-3.73,0.0
2016-06-30,8.73,$-4.91,0.0
2016-03-31,6.07,$-4.82,0.0
2015-12-31,7.98,$-2.10,0.0
2015-09-30,9.54,$-0.75,0.0
2015-03-31,16.71,$0.61,27.39
2014-12-31,18.12,$0.55,32.95
2014-09-30,20.94,$0.17,123.16
2014-06-30,20.98,$-0.23,0.0
2014-03-31,17.01,$-0.51,0.0
2013-12-31,18.12,$-0.61,0.0
2013-09-30,10.43,$-0.51,0.0
2013-06-30,9.8,$-0.37,0.0
2013-03-31,9.49,$-0.30,0.0
2012-12-31,7.02,$-0.27,0.0
2012-09-30,6.81,$-0.19,0.0
2012-06-30,6.73,$-0.12,0.0
2011-12-31,5.98,$-0.12,0.0
2011-09-30,6.33,$-0.13,0.0
2011-06-30,5.55,$-0.11,0.0
2011-03-31,4.6,$-0.13,0.0
2010-12-31,4.06,$-0.15,0.0
2012-03-31,6.74,$-0.23,0.0
2010-09-30,3.59,$0.04,89.71
2010-06-30,2.91,$0.41,7.1
2010-03-31,3.95,$0.55,7.18
2009-12-31,2.75,$0.60,4.58
2009-09-30,2.4,$0.16,14.99
