Vornado Realty Trust PE Ratio Historical Data,Vornado Realty Trust PE Ratio Historical Data,Vornado Realty Trust PE Ratio Historical Data,Vornado Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.27,,469.67
2024-06-30,26.29,$0.09,292.11
2024-03-31,28.77,$0.15,191.8
2023-12-31,28.25,$-2.37,0.0
2023-09-30,22.47,$-2.01,0.0
2023-06-30,17.97,$-2.03,0.0
2022-12-31,20.29,$-2.13,0.0
2022-09-30,22.07,$0.50,44.15
2022-06-30,26.74,$0.49,54.57
2022-03-31,41.77,$0.43,97.15
2021-12-31,38.08,$0.54,70.52
2023-03-31,15.22,$0.50,30.45
2021-09-30,37.77,$-0.62,0.0
2021-06-30,41.45,$-0.54,0.0
2021-03-31,39.85,$-1.82,0.0
2020-12-31,32.35,$-1.81,0.0
2020-09-30,28.71,$0.29,98.98
2020-06-30,32.06,$1.70,18.86
2020-03-31,29.88,$15.29,1.95
2019-12-31,54.34,$16.21,3.35
2019-09-30,50.03,$15.73,3.18
2019-06-30,49.84,$15.04,3.31
2019-03-31,52.44,$3.06,17.14
2018-12-31,47.76,$2.02,23.64
2018-09-30,55.68,$1.63,34.16
2018-06-30,55.89,$0.48,116.44
2018-03-31,50.43,$0.51,98.88
2017-12-31,58.07,$0.85,68.32
2017-09-30,56.64,$4.14,13.68
2017-06-30,55.67,$4.64,12.0
2017-03-31,59.03,$5.19,11.37
2016-12-31,61.02,$4.33,14.09
2016-09-30,58.74,$2.12,27.71
2016-06-30,57.77,$2.82,20.48
2016-03-31,54.13,$2.53,21.39
2015-12-31,56.88,$3.59,15.85
2015-09-30,51.12,$5.09,10.04
2015-06-30,53.32,$4.73,11.27
2015-03-31,62.52,$4.27,14.64
2014-12-31,59.26,$4.15,14.28
2014-09-30,49.99,$1.06,47.16
2014-06-30,53.0,$0.81,65.44
2014-03-31,48.61,$1.18,41.19
2013-12-31,43.44,$2.09,20.79
2013-09-30,40.88,$2.79,14.65
2013-06-30,40.04,$3.59,11.15
2013-03-31,40.18,$2.92,13.76
2012-12-31,38.22,$2.93,13.05
2012-09-30,38.07,$2.97,12.82
2012-06-30,39.21,$1.95,20.11
2012-03-31,39.08,$2.33,16.77
2011-12-31,35.46,$3.20,11.08
2011-09-30,34.2,$4.14,8.26
2011-06-30,42.42,$4.44,9.55
2011-03-31,39.62,$4.27,9.28
2010-12-31,37.52,$3.24,11.58
2010-09-30,38.3,$1.09,35.14
2010-06-30,32.48,$1.26,25.78
2010-03-31,33.51,$0.64,52.35
2009-12-31,30.73,$0.34,90.38
