Teck Resources PE Ratio Historical Data,Teck Resources PE Ratio Historical Data,Teck Resources PE Ratio Historical Data,Teck Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.5,,24.75
2024-06-30,47.26,$2.04,23.17
2024-03-31,45.08,$2.26,19.95
2023-12-31,41.54,$3.43,12.11
2023-09-30,42.25,$3.14,13.46
2023-06-30,41.19,$2.47,16.68
2023-03-31,35.64,$4.16,8.57
2022-12-31,36.47,$4.78,7.63
2022-09-30,29.25,$6.57,4.45
2022-06-30,29.32,$8.05,3.64
2022-03-31,38.65,$6.03,6.41
2021-12-31,27.23,$4.21,6.47
2021-09-30,23.5,$1.37,17.16
2021-06-30,21.71,$0.25,86.82
2021-03-31,18.04,$-0.34,0.0
2020-12-31,17.04,$-1.22,0.0
2020-09-30,13.04,$-1.78,0.0
2020-06-30,9.73,$-1.36,0.0
2020-03-31,7.04,$-0.86,0.0
2019-12-31,16.09,$0.40,40.22
2019-09-30,15.0,$2.20,6.82
2019-06-30,21.27,$3.38,6.29
2019-03-31,21.34,$3.92,5.44
2018-12-31,19.8,$4.12,4.81
2018-09-30,22.04,$4.58,4.81
2018-06-30,23.24,$3.71,6.26
2018-03-31,23.49,$3.60,6.53
2017-12-31,23.83,$3.30,7.22
2017-09-30,18.92,$3.16,5.99
2017-06-30,15.52,$2.66,5.83
2017-03-31,19.53,$1.95,10.01
2016-12-31,17.86,$1.34,13.33
2016-09-30,16.05,$-0.15,0.0
2016-06-30,11.72,$-3.30,0.0
2016-03-31,6.75,$-3.23,0.0
2015-12-31,3.42,$-3.25,0.0
2015-09-30,4.22,$-2.47,0.0
2015-06-30,8.71,$0.49,17.77
2015-03-31,11.94,$0.53,22.52
2014-12-31,11.86,$0.54,21.96
2014-09-30,15.9,$0.73,21.78
2014-06-30,19.22,$1.05,18.3
2014-03-31,17.9,$1.16,15.43
2013-12-31,21.48,$1.59,13.51
2013-09-30,21.76,$1.47,14.8
2013-06-30,17.33,$1.34,12.93
2013-03-31,22.4,$1.55,14.45
2012-12-31,28.92,$1.38,20.96
2012-09-30,23.13,$2.22,10.42
2012-06-30,24.3,$3.26,7.45
2012-03-31,27.67,$4.17,6.63
2011-12-31,27.3,$4.61,5.92
2011-09-30,22.39,$4.14,5.41
2011-06-30,38.92,$3.35,11.62
2011-03-31,40.4,$2.42,16.69
2010-12-31,47.11,$3.11,15.15
2010-09-30,31.2,$3.14,9.94
2010-06-30,22.42,$3.58,6.26
2010-03-31,32.83,$4.15,7.91
2009-12-31,26.36,$3.05,8.64
