Medpace Holdings PE Ratio Historical Data,Medpace Holdings PE Ratio Historical Data,Medpace Holdings PE Ratio Historical Data,Medpace Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,342.89,,32.26
2024-06-30,411.85,$10.63,38.74
2024-03-31,404.15,$9.81,41.2
2023-12-31,306.53,$8.88,34.52
2023-09-30,242.13,$8.54,28.35
2023-06-30,240.17,$8.37,28.69
2023-03-31,188.05,$7.90,23.8
2022-12-31,212.41,$7.32,29.02
2022-09-30,157.17,$6.52,24.11
2022-06-30,149.67,$5.76,25.98
2022-03-31,163.59,$5.36,30.52
2021-12-31,217.64,$4.81,45.25
2021-09-30,189.28,$4.84,39.11
2021-06-30,176.63,$4.64,38.07
2021-03-31,164.05,$4.22,38.87
2020-12-31,139.2,$3.84,36.25
2020-09-30,111.75,$3.27,34.17
2020-06-30,93.02,$2.81,33.1
2020-03-31,73.38,$2.90,25.3
2019-12-31,84.06,$2.65,31.72
2019-09-30,84.04,$2.48,33.89
2019-06-30,65.42,$2.37,27.6
2019-03-31,58.97,$2.09,28.22
2018-12-31,52.93,$2.03,26.07
2018-09-30,59.91,$1.72,34.83
2018-06-30,43.0,$1.45,29.66
2018-03-31,34.91,$1.23,28.38
2017-12-31,36.26,$0.98,37.0
2017-09-30,31.9,$0.68,46.91
2017-06-30,29.0,$0.56,51.79
