Hims & Hers Health PE Ratio Historical Data,Hims & Hers Health PE Ratio Historical Data,Hims & Hers Health PE Ratio Historical Data,Hims & Hers Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.56,,269.5
2024-06-30,20.19,$0.08,252.38
2024-03-31,15.47,$-0.01,0.0
2023-12-31,8.9,$-0.11,0.0
2023-09-30,6.29,$-0.17,0.0
2023-06-30,9.4,$-0.22,0.0
2023-03-31,9.92,$-0.29,0.0
2022-12-31,6.41,$-0.32,0.0
2022-09-30,5.58,$-0.42,0.0
2022-06-30,4.53,$-0.41,0.0
2022-03-31,5.33,$-0.36,0.0
2021-12-31,6.55,$-0.62,0.0
2021-09-30,7.54,$-0.54,0.0
2021-06-30,10.89,$-0.46,0.0
2021-03-31,13.23,$-0.41,0.0
2020-12-31,14.6,$-0.07,0.0
2020-09-30,11.75,0,0.0
2020-06-30,10.17,0,0.0
