UFP Industries PE Ratio Historical Data,UFP Industries PE Ratio Historical Data,UFP Industries PE Ratio Historical Data,UFP Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,134.98,,17.46
2024-06-30,111.7,$7.73,14.45
2024-03-31,122.33,$8.04,15.22
2023-12-31,124.5,$8.06,15.45
2023-09-30,101.27,$8.54,11.86
2023-06-30,95.7,$9.10,10.52
2023-03-31,78.11,$9.97,7.83
2022-12-31,77.67,$10.99,7.07
2022-09-30,70.51,$11.10,6.35
2022-06-30,66.37,$10.37,6.4
2022-03-31,74.91,$9.92,7.55
2021-12-31,89.12,$8.59,10.38
2021-09-30,65.69,$7.40,8.88
2021-06-30,71.69,$6.72,10.67
2021-03-31,73.0,$5.02,14.54
2020-12-31,53.34,$4.00,13.33
2020-09-30,54.13,$3.59,15.08
2020-06-30,47.33,$3.18,14.88
2020-03-31,35.45,$2.98,11.9
2019-12-31,45.36,$2.91,15.59
2019-09-30,37.77,$2.80,13.49
2019-06-30,36.05,$2.62,13.76
2019-03-31,28.14,$2.45,11.48
2018-12-31,24.44,$2.40,10.18
2018-09-30,33.26,$2.41,13.8
2018-06-30,34.47,$2.30,15.01
2018-03-31,30.4,$2.13,14.25
2017-12-31,35.24,$1.95,18.1
2017-09-30,30.52,$1.78,17.18
2017-06-30,27.15,$1.68,16.13
2017-03-31,30.48,$1.68,18.11
2016-12-31,31.61,$1.66,19.08
2016-09-30,30.33,$1.63,18.65
2016-06-30,28.55,$1.59,17.92
2016-03-31,26.3,$1.47,17.85
2015-12-31,20.95,$1.33,15.79
2015-09-30,17.58,$1.17,15.03
2015-06-30,15.86,$1.07,14.82
2015-03-31,16.79,$1.00,16.74
2014-12-31,16.1,$0.95,16.89
2014-09-30,12.82,$0.93,13.74
2014-06-30,14.49,$0.85,17.05
2014-03-31,16.54,$0.75,21.96
2013-12-31,15.59,$0.72,21.65
2013-09-30,12.5,$0.55,22.59
2013-06-30,11.89,$0.39,30.74
2013-03-31,11.79,$0.42,28.3
2012-12-31,11.27,$0.40,28.17
2012-09-30,12.24,$0.40,30.35
2012-06-30,11.49,$0.43,26.71
2012-03-31,10.11,$0.21,48.12
2011-12-31,9.05,$0.14,63.14
2011-09-30,6.99,$0.22,32.29
2011-06-30,6.97,$0.35,19.73
2010-12-31,11.23,$0.30,37.88
2010-09-30,8.4,$0.28,29.64
2010-06-30,8.7,$0.18,49.24
2010-03-31,11.0,$0.11,97.01
2009-12-31,10.51,$0.37,28.15
2011-03-31,10.58,$0.36,29.13
