Blue Owl Capital PE Ratio Historical Data,Blue Owl Capital PE Ratio Historical Data,Blue Owl Capital PE Ratio Historical Data,Blue Owl Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.45,,146.56
2024-06-30,17.75,$0.16,110.94
2024-03-31,18.86,$0.12,157.17
2023-12-31,14.9,$0.10,149.0
2023-09-30,12.96,$0.07,185.14
2023-06-30,11.65,$0.04,291.25
2023-03-31,11.08,$0.02,554.0
2022-12-31,10.6,$-0.03,0.0
2022-09-30,9.23,$-0.04,0.0
2022-06-30,9.94,$-0.20,0.0
2022-03-31,12.45,$-0.20,0.0
2021-12-31,14.53,$-0.17,0.0
2021-09-30,15.07,$-0.16,0.0
