EMCOR PE Ratio Historical Data,EMCOR PE Ratio Historical Data,EMCOR PE Ratio Historical Data,EMCOR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,453.75,,25.99
2024-06-30,364.64,$17.46,20.88
2024-03-31,349.52,$15.16,23.06
2023-12-31,214.84,$13.31,16.14
2023-09-30,209.62,$11.47,18.28
2023-06-30,183.93,$10.06,18.28
2023-03-31,161.66,$9.10,17.76
2022-12-31,147.12,$8.17,18.01
2022-09-30,114.57,$7.43,15.42
2022-06-30,102.02,$7.12,14.33
2022-03-31,111.48,$6.91,16.13
2021-12-31,125.95,$7.06,17.84
2021-09-30,113.96,$6.62,17.21
2021-06-30,121.54,$5.88,20.67
2021-03-31,110.53,$2.58,42.84
2020-12-31,90.01,$2.39,37.66
2020-09-30,66.57,$2.48,26.84
2020-06-30,64.94,$2.82,23.03
2020-03-31,60.13,$5.83,10.31
2019-12-31,84.54,$5.76,14.68
2019-09-30,84.29,$5.58,15.11
2019-06-30,86.15,$5.48,15.72
2019-03-31,71.39,$5.20,13.73
2018-12-31,58.23,$4.86,11.98
2018-09-30,73.19,$4.40,16.63
2018-06-30,74.16,$3.93,18.87
2018-03-31,75.79,$3.38,22.42
2017-12-31,79.42,$3.28,24.21
2017-03-31,60.94,$3.28,18.58
2016-12-31,68.42,$2.96,23.11
2016-09-30,57.56,$3.11,18.51
2016-06-30,47.49,$3.36,14.13
2016-03-31,46.78,$3.12,14.99
2015-12-31,46.15,$3.30,13.99
2017-09-30,67.33,$3.01,22.37
2015-09-30,42.44,$2.57,16.51
2015-06-30,45.74,$2.58,17.73
2015-03-31,44.42,$2.79,15.92
2014-12-31,42.44,$2.86,14.84
2014-09-30,38.04,$2.82,13.49
2017-06-30,63.37,$2.83,22.39
2014-06-30,42.32,$2.27,18.64
2014-03-31,44.39,$1.99,22.3
2013-12-31,40.19,$2.06,19.51
2013-09-30,37.0,$1.97,18.78
2013-06-30,38.38,$2.07,18.54
2012-12-31,32.62,$2.16,15.1
2012-09-30,26.61,$2.02,13.17
2012-06-30,25.89,$1.87,13.85
2012-03-31,25.75,$1.98,13.0
2011-12-31,24.86,$2.00,12.43
2013-03-31,39.96,$1.82,21.95
2011-09-30,18.81,$1.97,9.55
2011-06-30,27.12,$-1.28,0.0
2011-03-31,28.65,$-1.30,0.0
2010-12-31,26.81,$-1.34,0.0
2010-09-30,22.75,$-1.35,0.0
2010-06-30,21.44,$1.89,11.34
2010-03-31,22.79,$2.16,10.55
2009-12-31,24.89,$2.39,10.41
