Alcoa PE Ratio Historical Data,Alcoa PE Ratio Historical Data,Alcoa PE Ratio Historical Data,Alcoa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.35,,0.0
2024-09-30,38.58,$-2.14,0.0
2024-06-30,39.65,$-3.08,0.0
2024-03-31,33.6,$-3.76,0.0
2023-12-31,33.69,$-3.65,0.0
2023-09-30,28.68,$-4.93,0.0
2023-06-30,33.39,$-8.16,0.0
2023-03-31,41.77,$-4.64,0.0
2022-12-31,44.54,$-0.85,0.0
2022-09-30,32.89,$-0.84,0.0
2022-06-30,44.44,$5.09,8.73
2022-03-31,87.64,$3.77,23.25
2021-12-31,57.93,$2.21,26.21
2021-09-30,47.48,$4.30,11.04
2021-06-30,35.74,$2.28,15.68
2021-03-31,31.52,$-0.41,0.0
2020-12-31,22.36,$-0.91,0.0
2020-09-30,11.28,$-2.52,0.0
2020-06-30,10.91,$-3.45,0.0
2020-03-31,5.98,$-4.56,0.0
2019-12-31,20.87,$-4.76,0.0
2019-09-30,19.47,$-3.35,0.0
2019-06-30,22.71,$-1.77,0.0
2018-12-31,25.79,$1.20,21.49
2018-09-30,39.2,$-0.09,0.0
2018-06-30,45.49,$-0.94,0.0
2018-03-31,43.62,$-0.73,0.0
2017-12-31,52.27,$-1.13,0.0
2019-03-31,27.32,$1.14,23.97
2017-09-30,45.23,$1.53,29.56
