Bilibili PE Ratio Historical Data,Bilibili PE Ratio Historical Data,Bilibili PE Ratio Historical Data,Bilibili PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.46,,0.0
2024-06-30,15.44,$-1.34,0.0
2024-03-31,11.2,$-1.67,0.0
2023-12-31,12.17,$-1.64,0.0
2023-09-30,13.77,$-1.75,0.0
2023-06-30,15.1,$-1.91,0.0
2023-03-31,23.5,$-2.15,0.0
2022-12-31,23.69,$-2.84,0.0
2022-09-30,15.32,$-3.12,0.0
2022-06-30,25.6,$-3.58,0.0
2022-03-31,25.58,$-3.26,0.0
2021-12-31,46.4,$-2.74,0.0
2021-09-30,66.17,$-2.27,0.0
2021-06-30,121.84,$-1.65,0.0
2021-03-31,107.06,$-1.43,0.0
2020-12-31,85.72,$-1.27,0.0
2020-09-30,41.6,$-1.08,0.0
2020-06-30,46.32,$-0.80,0.0
2020-03-31,23.42,$-0.71,0.0
2019-12-31,18.62,$-0.57,0.0
2019-09-30,14.12,$-0.49,0.0
2019-06-30,16.27,$-0.45,0.0
2019-03-31,18.95,$-0.35,0.0
2018-12-31,14.59,$-0.53,0.0
