HDFC Bank PE Ratio Historical Data,HDFC Bank PE Ratio Historical Data,HDFC Bank PE Ratio Historical Data,HDFC Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.88,,18.79
2024-06-30,63.6,$3.24,19.63
2024-03-31,55.33,$3.26,16.97
2023-12-31,66.35,$3.24,20.48
2023-09-30,58.34,$3.25,17.95
2023-06-30,68.19,$3.20,21.31
2023-03-31,65.23,$3.06,21.32
2022-12-31,66.93,$2.99,22.38
2022-09-30,57.16,$2.92,19.57
2022-06-30,53.23,$2.83,18.81
2022-03-31,59.4,$2.75,21.6
2021-12-31,63.02,$2.64,23.87
2021-09-30,70.79,$2.43,29.13
2021-06-30,70.55,$1.77,39.86
2020-12-31,69.72,$1.19,58.59
2020-09-30,48.21,$0.78,61.8
2019-09-30,55.05,$0.47,118.38
2014-09-30,21.92,$0.71,31.09
2014-06-30,22.03,$0.91,24.35
2014-03-31,19.17,$0.87,22.03
2013-12-31,16.09,$0.86,18.82
2013-09-30,14.38,$0.84,17.22
2013-06-30,16.93,$0.82,20.77
2013-03-31,17.34,$0.79,22.09
2012-12-31,18.87,$0.75,25.15
2012-09-30,17.41,$0.70,25.05
2012-06-30,15.1,$0.67,22.54
2012-03-31,15.67,$0.66,23.71
2011-09-30,13.4,$0.63,21.3
2011-06-30,16.22,$0.59,27.35
2011-03-31,15.52,$0.52,30.13
2010-12-31,15.26,$0.48,31.72
2010-09-30,16.83,$0.41,41.36
2010-06-30,13.05,$0.38,34.63
2010-03-31,12.65,$0.39,32.78
2009-12-31,11.81,$0.35,33.54
2009-09-30,10.74,$0.45,23.72
