TELUS PE Ratio Historical Data,TELUS PE Ratio Historical Data,TELUS PE Ratio Historical Data,TELUS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.34,,40.85
2024-06-30,14.79,$0.40,36.98
2024-03-31,15.37,$0.39,39.42
2023-12-31,16.81,$0.43,39.1
2023-09-30,15.21,$0.41,37.11
2023-06-30,17.84,$0.62,28.77
2023-03-31,17.95,$0.79,22.72
2022-12-31,17.22,$0.90,19.14
2022-09-30,17.49,$1.14,15.35
2022-06-30,19.4,$1.06,18.3
2022-03-31,22.51,$0.99,22.74
2021-12-31,20.1,$0.96,20.94
2021-09-30,18.52,$0.74,25.02
2021-06-30,18.71,$0.72,25.99
2021-03-31,16.44,$0.69,23.82
2020-12-31,16.14,$0.71,22.73
2020-09-30,14.18,$0.79,17.95
2020-06-30,13.34,$0.89,15.08
2020-03-31,12.41,$1.05,11.87
2019-12-31,15.1,$1.10,13.73
2019-09-30,13.73,$1.10,12.48
2019-06-30,14.06,$1.11,12.67
2019-03-31,13.95,$1.04,13.48
2018-12-31,12.34,$1.05,11.81
2018-09-30,13.56,$1.00,13.56
2018-06-30,12.93,$0.96,13.47
2018-03-31,12.66,$0.95,13.4
2017-12-31,13.49,$0.95,14.28
2017-09-30,12.68,$0.81,15.65
2017-06-30,12.03,$0.79,15.23
2017-03-31,11.2,$0.82,13.66
2016-12-31,10.86,$0.78,13.92
2016-09-30,11.12,$0.90,12.43
2016-06-30,10.74,$0.90,11.93
2016-03-31,10.73,$0.86,12.48
2015-12-31,9.02,$0.91,9.97
2015-09-30,10.18,$0.94,10.83
2015-06-30,11.01,$0.97,11.41
2015-03-31,10.52,$1.02,10.31
2014-12-31,11.3,$1.02,11.13
2014-09-30,10.61,$1.03,10.35
2014-06-30,11.45,$1.04,11.01
2014-03-31,10.95,$0.97,11.35
2013-12-31,10.39,$0.97,10.77
2013-09-30,9.9,$0.98,10.13
2013-06-30,8.64,$0.98,8.86
2013-03-31,10.13,$1.01,10.0
2012-12-31,9.46,$1.01,9.39
2012-09-30,8.99,$0.98,9.22
2012-06-30,8.33,$0.96,8.65
2012-03-31,8.01,$0.97,8.27
2011-12-31,7.47,$0.94,7.96
2011-09-30,6.38,$0.93,6.89
2011-06-30,7.18,$0.86,8.32
2011-03-31,6.55,$0.84,7.84
2010-12-31,5.82,$0.80,7.27
2010-09-30,5.59,$0.74,7.57
2010-06-30,4.72,$0.75,6.27
2010-03-31,4.61,$0.71,6.54
2009-12-31,3.95,$0.75,5.25
