Prosperity Bancshares PE Ratio Historical Data,Prosperity Bancshares PE Ratio Historical Data,Prosperity Bancshares PE Ratio Historical Data,Prosperity Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.73,,16.35
2024-06-30,60.67,$4.57,13.28
2024-03-31,64.65,$4.34,14.9
2023-12-31,65.95,$4.53,14.56
2023-09-30,52.71,$5.02,10.5
2023-06-30,54.02,$5.31,10.17
2023-03-31,58.3,$5.77,10.1
2022-12-31,68.27,$5.73,11.92
2022-09-30,62.14,$5.60,11.1
2022-06-30,63.16,$5.50,11.48
2022-03-31,63.69,$5.51,11.56
2021-12-31,65.89,$5.62,11.72
2021-09-30,64.35,$5.72,11.25
2021-06-30,64.48,$5.73,11.25
2021-03-31,66.81,$5.73,11.66
2020-12-31,61.5,$5.68,10.83
2020-09-30,45.62,$5.21,8.76
2020-06-30,51.81,$5.00,10.36
2020-03-31,41.79,$4.77,8.76
2019-12-31,61.76,$4.56,13.54
2019-09-30,60.29,$4.74,12.72
2019-06-30,56.05,$4.73,11.85
2019-03-31,58.25,$4.72,12.34
2018-12-31,52.26,$4.61,11.34
2018-09-30,57.8,$4.39,13.17
2018-06-30,56.69,$4.19,13.53
2018-03-31,59.93,$4.01,14.95
2017-12-31,57.55,$3.93,14.64
2017-09-30,53.71,$3.95,13.6
2017-06-30,52.19,$3.96,13.18
2017-03-31,56.35,$3.95,14.27
2016-12-31,57.76,$3.94,14.66
2016-09-30,43.95,$3.96,11.1
2016-06-30,40.6,$3.98,10.2
2016-03-31,36.72,$4.03,9.11
2015-12-31,37.62,$4.10,9.18
2015-09-30,38.37,$4.21,9.11
2015-06-30,44.88,$4.30,10.44
2015-03-31,40.6,$4.35,9.33
2014-12-31,42.61,$4.31,9.89
2014-09-30,43.78,$4.17,10.5
2014-06-30,47.75,$3.98,12.0
2014-03-31,50.26,$3.79,13.26
2013-12-31,47.98,$3.64,13.18
2013-09-30,46.63,$3.51,13.29
2013-06-30,38.91,$3.42,11.38
2013-03-31,35.45,$3.31,10.71
2012-12-31,31.27,$3.22,9.71
2012-09-30,31.56,$3.14,10.05
2012-06-30,30.99,$3.09,10.03
2012-03-31,33.6,$3.06,10.98
2011-12-31,29.48,$3.01,9.79
2011-09-30,23.75,$2.94,8.08
2011-06-30,31.69,$2.86,11.08
2011-03-31,30.79,$2.79,11.04
2010-12-31,28.15,$2.73,10.31
2010-09-30,23.16,$2.68,8.64
2010-06-30,24.66,$2.62,9.41
2010-03-31,28.96,$2.51,11.54
2009-12-31,28.48,$2.40,11.87
