Baidu PE Ratio Historical Data,Baidu PE Ratio Historical Data,Baidu PE Ratio Historical Data,Baidu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,92.11,,11.93
2023-12-31,119.09,$7.72,15.43
2023-09-30,134.35,$8.74,15.37
2023-06-30,136.91,$6.12,22.37
2023-03-31,150.92,$5.66,26.66
2022-12-31,114.38,$2.89,39.58
2022-09-30,117.49,$1.63,72.08
2022-06-30,148.73,$3.82,38.93
2022-03-31,132.3,$-5.15,0.0
2021-12-31,148.79,$-4.96,0.0
2024-06-30,86.48,$5.59,15.47
2021-09-30,153.75,$5.83,26.37
2021-06-30,203.9,$19.17,10.64
2021-03-31,217.55,$20.89,10.41
2020-12-31,216.24,$9.63,22.45
2020-09-30,126.59,$9.94,12.74
2020-06-30,119.89,$6.15,19.49
2020-03-31,100.79,$2.12,47.54
2019-12-31,126.4,$3.08,41.04
2024-03-31,105.28,$0.31,339.61
2019-09-30,102.76,$-0.90,0.0
2019-06-30,117.36,$6.80,17.26
2019-03-31,164.85,$8.58,19.21
2018-12-31,158.6,$11.71,13.54
2018-09-30,228.68,$12.75,17.94
2018-06-30,243.0,$8.29,29.31
2018-03-31,223.19,$7.19,31.04
2017-12-31,234.21,$5.49,42.66
2017-03-31,172.52,$4.64,37.18
2016-12-31,164.41,$4.85,33.9
2016-09-30,182.07,$4.46,40.82
2016-06-30,165.15,$4.82,34.26
2016-03-31,190.88,$4.86,39.28
2015-09-30,137.53,$5.26,26.15
2015-06-30,199.08,$7.63,26.09
2015-03-31,208.4,$7.36,28.32
2012-12-31,100.29,$7.51,13.35
2017-09-30,247.69,$7.08,34.98
2012-09-30,116.89,$4.39,26.63
2012-06-30,114.98,$3.86,29.79
2012-03-31,145.77,$3.34,43.64
2011-12-31,116.47,$2.96,39.35
2011-09-30,106.91,$2.53,42.26
2011-06-30,140.13,$1.89,74.06
2011-03-31,137.81,$1.35,101.93
2010-12-31,96.53,$1.09,88.64
2010-03-31,59.7,$0.75,79.6
2009-12-31,41.12,$0.62,65.9
2009-09-30,39.11,$2.11,18.5
2009-06-30,30.11,$2.36,12.77
2009-03-31,17.66,$2.55,6.94
