Carlisle PE Ratio Historical Data,Carlisle PE Ratio Historical Data,Carlisle PE Ratio Historical Data,Carlisle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,472.55,,16.7
2024-06-30,404.21,$28.30,14.28
2024-03-31,390.09,$17.25,22.61
2023-12-31,310.26,$15.24,20.36
2023-09-30,256.68,$14.37,17.86
2023-06-30,253.21,$13.91,18.2
2023-03-31,222.34,$15.85,14.03
2022-12-31,231.09,$17.55,13.17
2022-09-30,274.15,$16.63,16.48
2022-06-30,232.72,$14.47,16.08
2022-03-31,239.34,$10.61,22.56
2021-12-31,240.92,$7.92,30.42
2021-09-30,192.59,$7.00,27.51
2021-06-30,184.93,$6.20,29.83
2021-03-31,158.61,$5.69,27.88
2020-12-31,149.99,$5.81,25.82
2020-09-30,117.09,$6.10,19.2
2020-06-30,114.03,$6.63,17.2
2020-03-31,118.82,$7.92,15.0
2019-12-31,153.03,$8.19,18.68
2019-09-30,137.19,$7.88,17.41
2019-06-30,131.89,$7.12,18.52
2019-03-31,114.84,$6.32,18.17
2018-12-31,93.83,$9.90,9.48
2018-09-30,113.27,$10.25,11.05
2018-06-30,100.4,$9.98,10.06
2018-03-31,96.45,$9.71,9.93
2017-12-31,104.62,$5.71,18.32
2017-09-30,92.01,$5.05,18.22
2017-06-30,87.19,$3.53,24.7
2017-03-31,96.92,$3.70,26.19
2016-12-31,100.12,$3.81,26.28
2016-09-30,92.82,$3.89,23.86
2016-06-30,95.32,$5.60,17.02
2016-03-31,89.49,$5.28,16.95
2015-12-31,79.48,$4.82,16.49
2015-09-30,78.03,$4.39,17.78
2015-06-30,89.15,$4.15,21.48
2015-03-31,82.28,$3.86,21.32
2014-12-31,79.94,$3.82,20.93
2014-09-30,71.01,$4.08,17.4
2014-06-30,76.29,$3.94,19.36
2014-03-31,69.69,$2.93,23.79
2013-12-31,69.55,$3.23,21.53
2013-09-30,61.38,$2.90,21.17
2013-06-30,54.24,$2.80,19.37
2013-03-31,58.84,$4.12,14.28
2012-12-31,50.85,$4.21,12.08
2012-09-30,44.76,$4.08,10.97
2012-06-30,45.53,$3.85,11.83
2012-03-31,42.73,$3.26,13.11
2011-12-31,37.77,$2.85,13.25
2011-09-30,27.07,$2.75,9.84
2011-06-30,41.6,$2.71,15.35
2011-03-31,37.51,$2.47,15.19
2010-12-31,33.33,$2.33,14.31
2010-09-30,25.0,$2.40,10.42
2010-06-30,29.99,$2.34,12.82
2010-03-31,31.5,$2.62,12.02
2009-12-31,28.19,$2.34,12.05
