Thomson Reuters Corp PE Ratio Historical Data,Thomson Reuters Corp PE Ratio Historical Data,Thomson Reuters Corp PE Ratio Historical Data,Thomson Reuters Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,168.34,,32.31
2024-06-30,168.02,$5.21,32.25
2024-03-31,154.83,$5.25,29.49
2023-12-31,144.78,$5.84,24.79
2023-09-30,120.67,$4.96,24.32
2023-06-30,132.62,$4.65,28.53
2023-03-31,132.15,$2.50,52.86
2022-12-31,115.38,$2.99,38.62
2022-09-30,103.39,$2.00,51.64
2022-06-30,104.59,$1.01,103.95
2022-03-31,108.74,$3.49,31.2
2021-12-31,118.96,$11.86,10.03
2021-09-30,109.5,$13.40,8.17
2021-06-30,98.09,$14.41,6.81
2021-03-31,86.11,$12.44,6.92
2020-12-31,80.15,$2.33,34.34
2020-09-30,77.71,$3.90,19.92
2020-06-30,65.88,$3.31,19.91
2020-03-31,65.41,$3.43,19.05
2019-12-31,68.67,$3.27,21.01
2019-09-30,63.82,$6.94,9.2
2019-06-30,61.18,$7.46,8.21
2019-03-31,55.88,$8.08,6.92
2018-12-31,45.3,$7.29,6.21
2018-09-30,46.84,$1.81,25.94
2018-06-30,41.01,$1.91,21.49
2018-03-31,38.96,$1.21,32.17
2017-12-31,43.57,$2.23,19.55
2017-09-30,45.5,$4.76,9.55
2017-06-30,45.56,$4.65,9.8
2017-03-31,42.22,$4.86,8.69
2016-12-31,42.43,$4.78,8.88
2016-09-30,39.77,$1.92,20.72
2016-06-30,38.53,$1.92,20.07
2016-03-31,38.27,$1.78,21.47
2015-12-31,35.45,$1.83,19.39
2015-09-30,37.39,$2.86,13.09
2015-06-30,35.07,$2.78,12.63
2015-03-31,37.06,$2.75,13.46
2014-12-31,36.54,$2.71,13.49
2014-09-30,32.7,$0.58,56.11
2014-06-30,32.37,$0.63,51.5
2014-03-31,30.16,$0.62,48.87
2013-12-31,33.03,$0.18,180.62
2013-09-30,30.32,$1.19,25.51
2013-06-30,27.93,$1.45,19.25
2013-03-31,27.6,$2.38,11.61
2012-12-31,24.42,$2.86,8.55
2012-09-30,23.97,$-1.21,0.0
2012-06-30,23.37,$-1.35,0.0
2012-03-31,23.47,$-1.85,0.0
2011-12-31,21.41,$-1.94,0.0
2011-09-30,21.48,$1.92,11.19
2011-06-30,29.54,$1.78,16.57
2011-03-31,30.62,$1.42,21.61
2010-12-31,28.85,$1.25,23.17
2010-09-30,28.83,$1.18,24.5
2010-06-30,27.3,$1.03,26.55
2010-03-31,27.44,$1.06,25.83
2009-12-31,24.18,$1.20,20.16
