Kirby PE Ratio Historical Data,Kirby PE Ratio Historical Data,Kirby PE Ratio Historical Data,Kirby PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,124.08,,26.34
2024-06-30,119.73,$4.71,25.42
2024-03-31,95.32,$4.23,22.53
2023-12-31,78.48,$3.72,21.1
2023-09-30,82.8,$3.30,25.09
2023-06-30,76.95,$2.90,26.53
2023-03-31,69.7,$2.42,28.8
2022-12-31,64.35,$2.03,31.7
2022-09-30,60.77,$1.59,38.22
2022-06-30,60.84,$-3.47,0.0
2022-03-31,72.19,$-3.77,0.0
2021-12-31,59.42,$-4.12,0.0
2021-09-30,47.96,$-3.93,0.0
2021-06-30,60.64,$0.94,64.51
2021-03-31,60.28,$1.19,50.66
2020-12-31,51.83,$-2.90,0.0
2020-09-30,36.17,$-3.22,0.0
2020-06-30,53.56,$-2.88,0.0
2020-03-31,43.47,$-2.51,0.0
2019-12-31,89.53,$2.38,37.62
2019-09-30,82.16,$1.92,42.79
2019-06-30,79.0,$1.82,43.41
2019-03-31,75.11,$1.51,49.74
2018-12-31,67.36,$1.31,51.42
2018-09-30,82.25,$5.59,14.71
2018-06-30,83.6,$5.41,15.45
2018-03-31,76.95,$5.41,14.22
2017-12-31,66.8,$5.38,12.42
2017-09-30,65.95,$2.11,31.26
2017-06-30,66.85,$2.18,30.67
2017-03-31,70.55,$2.42,29.15
2016-12-31,66.5,$2.62,25.38
2016-09-30,62.16,$2.96,21.0
2016-06-30,62.39,$3.41,18.3
2016-03-31,60.29,$3.73,16.16
2015-12-31,52.62,$4.11,12.8
2015-09-30,61.95,$4.36,14.21
2015-06-30,76.66,$4.66,16.45
2015-03-31,75.05,$4.94,15.19
2014-12-31,80.74,$4.94,16.34
2014-09-30,117.85,$4.88,24.15
2014-06-30,117.14,$4.75,24.66
2014-03-31,101.25,$4.54,22.3
2013-12-31,99.25,$4.45,22.3
2013-09-30,86.55,$4.35,19.9
2013-06-30,79.54,$4.09,19.45
2013-03-31,76.8,$3.83,20.05
2012-12-31,61.89,$3.74,16.55
2012-09-30,55.28,$3.71,14.9
2012-06-30,47.08,$3.70,12.72
2012-03-31,65.79,$3.62,18.17
2011-12-31,65.84,$3.31,19.89
2011-09-30,52.64,$2.90,18.15
2011-06-30,56.67,$2.53,22.4
2011-03-31,57.29,$2.30,24.91
2010-12-31,44.05,$2.16,20.39
2010-09-30,40.06,$2.12,18.9
2010-06-30,38.25,$2.20,17.39
2010-03-31,38.15,$2.29,16.66
2009-12-31,34.83,$2.35,14.82
