NOV PE Ratio Historical Data,NOV PE Ratio Historical Data,NOV PE Ratio Historical Data,NOV PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.62,,5.85
2024-06-30,18.92,$2.67,7.09
2024-03-31,19.35,$2.49,7.77
2023-12-31,20.04,$2.51,7.99
2023-09-30,20.6,$1.26,16.35
2023-06-30,15.77,$1.05,15.02
2023-03-31,18.14,$0.84,21.6
2022-12-31,20.42,$0.42,48.62
2022-09-30,15.78,$-0.02,0.0
2022-06-30,16.44,$-0.17,0.0
2021-12-31,13.11,$-0.65,0.0
2021-09-30,12.64,$-1.45,0.0
2021-06-30,14.77,$-1.41,0.0
2021-03-31,13.22,$-2.35,0.0
2020-12-31,13.23,$-2.69,0.0
2020-09-30,8.73,$-15.90,0.0
2019-12-31,24.01,$-15.96,0.0
2019-09-30,20.27,$-14.92,0.0
2019-06-30,21.21,$-14.52,0.0
2019-03-31,25.36,$-0.41,0.0
2018-12-31,24.42,$-0.15,0.0
2020-06-30,11.81,$-0.36,0.0
2018-09-30,40.86,$-0.16,0.0
2018-06-30,41.12,$-0.23,0.0
2018-03-31,34.84,$-0.49,0.0
2017-12-31,34.04,$-0.63,0.0
2017-09-30,33.72,$-2.49,0.0
2017-06-30,31.04,$-6.04,0.0
2017-03-31,37.72,$-6.42,0.0
2016-12-31,35.18,$-6.42,0.0
2016-09-30,34.47,$-8.58,0.0
2016-06-30,31.53,$-4.55,0.0
2016-03-31,29.1,$-3.23,0.0
2015-12-31,30.88,$-2.15,0.0
2015-09-30,34.29,$3.30,10.39
2015-06-30,43.46,$2.76,15.75
2015-03-31,44.58,$3.64,12.25
2014-12-31,57.91,$4.32,13.4
2022-03-31,19.02,$4.30,4.42
2014-09-30,66.79,$5.96,11.21
2014-06-30,71.87,$5.83,12.33
2014-03-31,60.96,$-0.95,0.0
2013-12-31,62.06,$-1.08,0.0
2013-09-30,60.75,$-1.44,0.0
2020-03-31,9.47,$-1.37,0.0
2013-06-30,53.41,$5.40,9.89
2013-03-31,54.64,$5.58,9.79
2012-12-31,52.69,$5.76,9.15
2012-09-30,61.64,$5.45,11.31
2012-06-30,49.51,$5.15,9.61
2011-12-31,52.06,$4.69,11.1
2011-09-30,39.16,$4.39,8.92
2011-06-30,59.69,$4.56,13.09
2011-03-31,60.41,$4.39,13.76
2010-12-31,51.18,$4.39,11.66
2012-03-31,60.95,$4.35,14.01
2010-09-30,33.78,$3.87,8.73
2010-06-30,25.06,$3.83,6.54
2010-03-31,30.66,$3.40,9.02
2009-12-31,33.24,$3.52,9.44
