Sonoco Products PE Ratio Historical Data,Sonoco Products PE Ratio Historical Data,Sonoco Products PE Ratio Historical Data,Sonoco Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.44,,14.37
2024-06-30,50.19,$3.72,13.49
2024-03-31,56.73,$3.96,14.33
2023-12-31,54.31,$4.28,12.69
2023-09-30,52.33,$4.70,11.13
2023-06-30,56.32,$4.71,11.96
2022-12-31,56.95,$4.72,12.07
2022-09-30,52.76,$4.40,11.99
2022-06-30,52.64,$4.66,11.3
2022-03-31,57.26,$4.45,12.87
2021-12-31,52.58,$-0.06,0.0
2023-03-31,57.71,$-0.01,0.0
2021-09-30,53.72,$-1.63,0.0
2021-06-30,59.89,$-1.93,0.0
2021-03-31,56.3,$1.96,28.72
2020-12-31,52.31,$2.05,25.52
2020-09-30,44.74,$2.60,17.21
2020-06-30,45.44,$2.69,16.89
2020-03-31,39.91,$2.94,13.58
2019-12-31,52.71,$2.87,18.37
2019-09-30,49.35,$3.21,15.37
2019-06-30,54.99,$3.02,18.21
2019-03-31,51.43,$3.10,16.59
2018-12-31,44.1,$3.10,14.23
2018-09-30,45.74,$2.39,19.14
2018-06-30,42.95,$2.39,17.97
2018-03-31,39.37,$1.94,20.29
2017-12-31,42.79,$1.74,24.59
2017-09-30,40.31,$2.72,14.82
2017-06-30,40.76,$2.64,15.44
2017-03-31,41.64,$2.76,15.09
2016-12-31,41.17,$2.82,14.6
2016-09-30,40.98,$2.33,17.59
2016-06-30,38.24,$2.12,18.04
2016-03-31,37.11,$2.20,16.87
2015-12-31,30.97,$2.47,12.54
2015-09-30,28.36,$2.45,11.58
2015-06-30,31.94,$2.71,11.79
2015-03-31,33.62,$2.67,12.59
2014-12-31,32.1,$2.31,13.9
2014-09-30,28.64,$2.31,12.4
2014-06-30,31.76,$2.21,14.37
2014-03-31,29.43,$2.15,13.69
2013-12-31,29.71,$2.12,14.01
2013-09-30,27.52,$2.01,13.69
2013-06-30,24.24,$1.99,12.18
2013-03-31,24.32,$1.96,12.41
2012-12-31,20.47,$1.91,10.72
2012-09-30,21.12,$1.78,11.86
2012-06-30,20.35,$1.97,10.33
2012-03-31,22.19,$1.99,11.15
2011-12-31,21.83,$1.90,11.49
2011-09-30,18.53,$2.18,8.5
2011-06-30,23.1,$2.00,11.55
2010-12-31,21.54,$1.96,10.99
2010-09-30,21.21,$2.09,10.15
2010-06-30,19.16,$2.08,9.21
2010-03-31,19.2,$1.97,9.74
2009-12-31,18.07,$1.82,9.93
2011-03-31,23.36,$1.59,14.69
