Itau Unibanco Holding S.A PE Ratio Historical Data,Itau Unibanco Holding S.A PE Ratio Historical Data,Itau Unibanco Holding S.A PE Ratio Historical Data,Itau Unibanco Holding S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.21,,8.17
2024-06-30,5.78,$0.76,7.61
2024-03-31,6.81,$0.74,9.2
2023-12-31,6.56,$0.68,9.65
2023-09-30,5.02,$0.65,7.72
2023-06-30,5.45,$0.63,8.65
2023-03-31,4.45,$0.58,7.67
2022-09-30,4.55,$0.56,8.13
2022-06-30,3.72,$0.52,7.15
2022-03-31,4.95,$0.53,9.34
2021-12-31,3.24,$0.51,6.36
2021-09-30,3.7,$0.56,6.61
2021-06-30,4.2,$0.53,7.93
2021-03-31,3.45,$0.44,7.84
2020-12-31,4.19,$0.41,10.22
2020-09-30,2.73,$0.46,5.93
2020-06-30,3.2,$0.50,6.4
2020-03-31,3.06,$0.60,5.1
2019-12-31,6.03,$0.66,9.13
2019-09-30,5.53,$0.62,8.92
2019-06-30,6.04,$0.49,12.32
2022-12-31,4.24,$0.48,8.84
2019-03-31,5.64,$0.51,11.13
2018-12-31,5.56,$0.53,10.56
2018-09-30,4.45,$0.70,6.36
2018-06-30,4.13,$0.73,5.63
2018-03-31,6.2,$0.77,8.01
2017-12-31,4.94,$0.77,6.44
2017-09-30,5.18,$0.77,6.76
2017-06-30,4.13,$0.75,5.54
2017-03-31,4.51,$0.72,6.3
2016-12-31,3.77,$0.67,5.59
2016-09-30,3.58,$0.65,5.5
2016-06-30,3.06,$0.74,4.13
2016-03-31,2.78,$0.76,3.66
2015-12-31,2.04,$0.79,2.58
2015-09-30,2.06,$0.88,2.35
2015-06-30,3.06,$0.86,3.57
2015-03-31,3.08,$0.87,3.54
2014-12-31,3.53,$0.89,3.98
2014-09-30,3.76,$0.85,4.44
2014-06-30,3.86,$0.80,4.85
2014-03-31,3.62,$0.73,4.95
2013-12-31,3.25,$0.72,4.5
2013-09-30,3.35,$0.70,4.79
2013-06-30,3.03,$0.68,4.47
2013-03-31,3.79,$0.70,5.41
2012-12-31,3.46,$0.66,5.22
2012-09-30,3.18,$0.71,4.49
2012-06-30,2.87,$0.75,3.8
2012-03-31,3.95,$0.80,4.97
2011-12-31,3.78,$0.85,4.46
2011-09-30,3.13,$0.86,3.63
2011-06-30,4.69,$0.83,5.66
2011-03-31,4.78,$0.81,5.94
2010-12-31,4.7,$0.78,6.0
2010-09-30,4.73,$0.72,6.53
2010-06-30,3.49,$0.67,5.19
2010-03-31,4.26,$0.57,7.42
2009-12-31,4.36,$0.53,8.26
