InterDigital PE Ratio Historical Data,InterDigital PE Ratio Historical Data,InterDigital PE Ratio Historical Data,InterDigital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,155.69,,15.66
2024-06-30,115.83,$9.94,11.65
2024-03-31,105.36,$6.80,15.49
2023-12-31,107.01,$7.50,14.27
2023-09-30,78.72,$7.17,10.98
2023-06-30,94.38,$6.19,15.25
2023-03-31,70.91,$6.09,11.64
2022-12-31,47.85,$3.09,15.48
2022-09-30,38.8,$2.71,14.32
2022-06-30,58.03,$2.80,20.73
2022-03-31,60.54,$2.16,28.03
2021-12-31,67.64,$1.76,38.43
2021-09-30,63.71,$1.02,62.46
2021-06-30,68.25,$0.95,71.84
2021-03-31,59.01,$1.62,36.43
2020-12-31,56.13,$1.44,38.98
2020-09-30,52.48,$1.92,27.33
2020-06-30,51.77,$1.23,42.09
2020-03-31,40.48,$0.75,53.97
2019-12-31,49.11,$0.66,74.41
2019-09-30,46.97,$0.27,173.95
2019-06-30,57.34,$0.80,71.67
2019-03-31,58.44,$0.86,67.96
2018-12-31,58.54,$1.79,32.71
2018-09-30,70.17,$3.22,21.79
2018-06-30,70.67,$3.62,19.52
2018-03-31,64.01,$4.78,13.39
2017-12-31,65.94,$4.87,13.54
2017-09-30,63.57,$7.24,8.78
2017-06-30,66.37,$9.23,7.19
2017-03-31,73.84,$8.91,8.29
2016-12-31,77.9,$8.77,8.88
2016-09-30,67.28,$5.84,11.52
2016-06-30,47.13,$3.53,13.35
2016-03-31,46.93,$3.28,14.31
2015-12-31,41.18,$3.27,12.59
2015-09-30,42.33,$2.71,15.62
2015-06-30,47.41,$2.37,20.01
2015-03-31,42.12,$3.41,12.35
2014-12-31,43.74,$2.58,16.95
2014-09-30,32.76,$2.57,12.75
2014-06-30,39.16,$2.87,13.64
2014-03-31,27.04,$1.16,23.31
2013-12-31,24.0,$0.91,26.38
2013-09-30,30.31,$0.94,32.25
2013-06-30,36.15,$5.86,6.17
2013-03-31,38.67,$5.86,6.6
2012-12-31,33.19,$6.40,5.19
2012-09-30,28.95,$6.51,4.45
2012-06-30,22.84,$1.52,15.03
2012-03-31,26.91,$1.67,16.11
2011-12-31,33.63,$1.94,17.33
2011-09-30,35.79,$2.21,16.19
2011-06-30,31.32,$2.43,12.89
2011-03-31,36.5,$2.84,12.85
2010-12-31,31.79,$3.42,9.3
2010-09-30,22.61,$3.54,6.39
2010-06-30,18.85,$3.44,5.48
2010-03-31,21.27,$3.25,6.54
2009-12-31,20.28,$1.96,10.35
